stage,epidermis,eye,fin.mesenchyme,glial,ionocyte,mesenchyme,muscle,neural,olfactory,otic,periderm,spinal.cord
 14-21,0.84,0,0,0,0,0,0,1.96,0,0,0,0.92
 24-34,0.72,0,0,0,0,0,0,0.82,0,0,0,0.99
 36-46,0,0,0,1.19,0,0.88,0,1.64,0,0,0,0
 48-58,0,1.35,0,0,0.44,0.68,0,4.58,1.18,0,0,0.88
 60-70,0,5.54,0.63,0,0.58,0,0,0.69,0,0,0,0
 72-82,0,8.96,0,0,0,1.68,0,3.01,2.27,0,0,1.58
 84-94,0,3.71,0,0,0,0,0,1.81,0,0.72,1.31,0
 96-106,0.58,0,0,0,0,0,0,9.5,0,0,1.36,0
108-118,0,0,1.95,1.11,2.57,0,2.34,10.12,1.39,0,0,0
120,9.54,0,0,0,0,5.26,0,6.55,0,0,17.79,0
