stage,axial,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,lateral.line,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
 14-21,0,0,5.74,0.84,0.85,0,0,0,0,0,0,0,0,112.13,0,0,90.4,10.12,0,0,0.83,0,0,6.45,0,47.81,13.77,0,0,0,0
 24-34,0,0,9.25,0.87,0,0,0.92,2.05,0,0,1.97,0,0,405.56,0,0.69,137.64,41.57,9.03,0,0,0,0,0,0,11.06,9.89,0.89,0,0,0
 36-46,0,0,15.76,0,0,4.75,4.76,24.59,1.06,0,0.69,0,0,568.47,1.68,1.72,74.1,56.14,0,0,0.6,0,0,0,0,0,0,2.39,0,0.75,0
 48-58,0,0.43,5.91,0,6.91,0,0,19.74,11.26,0,0,0,1.05,502.82,0,2.3,33.81,20.57,0,0,1.2,1.57,0,0,0,0,0,1.86,2.66,0,0
 60-70,0,0,4.58,0,11.58,0.86,0,13.95,14.94,0,0.79,0,0,703.5,0,1.09,53.42,24.88,0,0,0,0,2.92,0,0.62,0,0,0,7.54,1.15,1.38
 72-82,0,0,1.16,0,6.32,0,0,17.44,15.2,0,3.89,0,0,638.98,0,2.28,27.31,60.3,0,0,0,4.44,0,0,0,0,0,4.31,6.45,1,1.2
 84-94,0.62,0,2.31,0,24.4,0,0,29.74,14.88,0,2.53,0.56,0,641.58,0,2.13,21.23,43.4,0,0,1.75,1.43,0,0,0,0,0,0,2.43,0,1.95
 96-106,0,0,3.63,0,4.56,0,0,14.29,14.03,0,0,0.93,1.01,544.25,0,3.11,28.12,69.79,0,0,4.16,10.69,0,0,0,0,0,0,3.95,2.98,0
108-118,0,0,4.4,0,1.87,0,0.56,29.39,22.68,1.85,0,0,0,586.4,0,2.05,26,88.79,0.41,0,3.96,7.72,0,0,0,0,0,0,8.33,0,3.15
120,0,0,16.32,0,5.43,0,0,31.32,24.6,0,0,0,0,375.46,0,0,15.49,46.89,0,1.91,0,2.67,0,0,0,0,0,0,0,0,0
