stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,123.44,1784.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50.76,0,0,0,0,0,0,0,0,0
  5-6,343.47,1973.9,0,10.26,0,0,0,0,0,0,0,0,35.46,0,0,0,0,0,0,0,0,0,0,0,64.18,6.07,0,0,8.57,0,7.36,0,0,0,0,0,0,0,0,0
  7-9,102.31,22.99,0,85.68,0,0,8.33,0,0,0,0,0,171.4,0,0,0,0,0,0,0,0,0,0,0,960.08,108.2,0,0,218.47,0,0,0,0,0,0,0,0,0,0,0
 10-12,3.8,22.44,0,109.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,331.54,55.11,0,0,73.16,0,0,0,3.9,0,0,0,0,0,0,0
 14-21,0,0,0,3.26,24.43,6.38,2.56,0,0,0,2.4,6.57,0,0,0,0,0,0,0,0,25.79,0,0,3.68,282.3,1.84,0,8.81,5.19,0,0,3.95,1.14,0,10.69,191.98,0,1.07,0,0
 24-34,0,0,0.66,0,0.88,0.62,12.74,0,0,0,17.14,0,0,0.79,0,0,0,0,0,0,13.27,0,0.81,6.18,1445.8,0,0,0.64,0,0,0.93,0,0,0,5.2,501.71,0,5.77,0,0
 36-46,0,0,0,0,0.75,0,22.41,0,0,0.65,133.82,0,0,1.51,2.47,0,0,0,0,0,6.7,0,0,6.56,2771.49,0.6,0,3.39,0,0,3.72,0,0,0,0,492.8,0,8.48,0,0
 48-58,0,0,0,0,7.44,0,241.48,0.42,8.55,1.25,292.49,0,0,0,8.94,0,1.67,0,0,0,20.27,2.26,0,3.53,2607.12,0,1.88,8.11,0,0,4.14,0,0,0,0,445.43,0,3.86,0,3.28
 60-70,0,0,0,0,0,0,432.41,0,0,0.87,303.9,0,0,0,18.02,0,23.2,3.46,5.95,0,31.33,0,6.85,0,1674.98,0,0,10.44,0,0,0,0,0.59,0.71,0,197.91,0,0,0,9.78
 72-82,0,0,0,0,3.58,0,703.35,0,0,2.41,241.31,0,0,0,9.1,0,17.29,1.19,0,0,27.36,0,0,0,1005.31,0,0,23.98,0,0,0,0,0,0,0,183.46,0,2.49,3.63,0
 84-94,0,0,0,0,0.95,0,520.19,0,1.42,0.74,155.89,0.76,0.91,0,22.23,0,11.82,4.74,2.58,9.73,32.15,0.86,0,5.31,638.71,0,0,33.04,0,0,0.85,0,0,0,0,71.47,1.02,0,0,5.82
 96-106,0,0,0,0,13.64,0,541.66,0.87,0.61,4.01,149.21,0,0,0,22.15,0,4.69,3.86,24.23,0,16.16,0,0,0,479.65,0,0,32.94,0,0,2.4,0,0,0,0,30.35,0,0,0.64,10.1
108-118,0,0,0,0,5.89,0,404.75,0,1.08,0,159.78,0,0,0,24.42,0.45,2.9,6.46,0.61,0,15.54,0,0,0,576.48,0,0,42.56,0,0.96,0,0,0,0,0,36.89,0.57,7.73,1.93,0
120,1.12,0,0,0,1.2,0,124.43,0,0,0,172.37,0,0,0,46.17,0,6.85,5.57,0,0,14.51,0,0,3.92,899.89,0,0,58.53,0,0,1.46,0,0,0,0,77.01,0,0,0,12.78
