stage,blastomeres,eye,mesenchyme,neural,periderm
  5-6,8.24,0,0,0,0
 36-46,0,0,0,0,1.65
 48-58,0,2.62,0,0,0
 72-82,0,0,1.9,3.67,0
 96-106,0,0,0,0.85,1.64
120,0,0,0,0,1.47
