stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,57.58,548.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,43.26,801.01,0,0,0,0,0,0,0,0,0,0,0,26.83,0,0,0,0,0,0,0,0,0,0,21.01,0,0,0,0,0,6.92,0,0,0,0,0,0,0,0
  7-9,13.99,11.29,0,10.39,0,0,0,57.71,0,0,0,0,0,11.3,0,0,0,0,0,0,0,0,0,0,328.36,13.07,0,0,97.5,0,4.29,0,0,0,0,0,0,0,0
 10-12,0,0,0,47.76,0,0,0,30.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,202.52,3.65,0,0,102.51,0,0,0,14.91,0,5.88,0,0,0,0
 14-21,0,0,0,1.98,5.25,0.81,0,5.95,0,0,0,1.11,1.09,0,0,0,0,0,0,0,5.82,0,0,4.05,72.35,0.83,0,1.77,2.26,0,0.97,14.08,0,10.69,37.62,0,1.24,0,0
 24-34,0,0,0,0,5.94,0,0,25.7,0,0,0,1.25,1.3,0,0,0,0,0,0,1.31,16.49,0,1.52,3.74,245.06,0.99,5.53,3.03,0,0,1.83,0,0,1.99,24.94,0,12.9,0,0
 36-46,0,0,0,0,4.25,0,0,32.74,0,5.92,0.96,4.67,0,0,0,0,0,0,0,0,12.02,0.77,0,3.05,193.04,1.42,0,1.29,0,0,5.68,0,0,0,37.79,0,1.21,0,0
 48-58,0,0,0,0,2.13,0,0,37.87,2.44,0,0,12.96,0,0,0,0.38,0,0.37,0,0,11.58,0,6.25,1.26,128.21,0,0.88,0,0,0,3,0,0,0,31.73,0,0,0,6.47
 60-70,0,0,0.86,0,7.72,0,0,56.13,1.08,0,0,7.07,0,0,0.7,0.65,5.04,1.57,0,0,21.86,0,10,2,96.25,0,1.44,0,0,0,1.65,0,0,0,10.46,0,0,0,0
 72-82,0,0,0,0,0.87,0,0,27.84,0,0,0,9.21,0,0,0,0.59,0.52,0,0,0,21.56,0,0,3.11,81.49,0,0,1.58,0,1.1,3.75,0,0,0,6.11,1.33,3.02,0.52,0
 84-94,0,0,1.01,0,7.83,0,0,26.05,0,0,1.47,9.94,0,0,0,0,0,0.73,0,0,29.19,0,7.05,4.87,61.98,0,0,0,0,0,0,0,2.26,0,1.57,0,8.33,2.54,4.59
 96-106,0,0,0,0,0.64,0,0,30.35,0,3.15,0.63,14.53,0.7,0,0,0.59,0,0,0.7,0,18.11,0,0.59,0,55.59,0,0,3.78,0,0,0,0,0,0,9.8,2.45,0.74,0,0
108-118,0,0,0,0,4.11,0.64,1.99,11.16,0,0,2.11,3.54,1.34,0,1.54,5.45,3.3,0,0,0,10.4,0,0,1.03,59.46,2.35,0,1.72,0,0,1.78,0,0,0,9.17,0,0,0,0.92
120,0,0,0,0,22.02,0,0,6.75,0,2.36,1.69,0,0,0,2.27,0,0,0,0,0,12.97,0,4.2,3.34,62.26,3.35,0,0,0,0,1.85,0,0,0,0,2.09,1.89,7.28,0
