stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,heart,iridophores,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  5-6,9.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,9.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,5.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.26,0,0,4.39,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,3,0,0,0,0,0,7.55,0,0,0,0,7.41,0,0,52.75,0,0,0,0,0,0,0,25.82,0,0,0,0,0
 24-34,0,0,0,0,1.61,0,7.82,0,0,0,0,11.92,0,0,2.44,0,7.26,0,1.68,172.48,0,0,0,0.99,0,1.58,0.61,41.78,0,0,11.41,0,0
 36-46,0,0,0,0,0,0,24.72,0,0,6.65,0,5.05,0,0,0,0,4.12,0.6,0,389.34,0,0,16.41,0,0,0,0,72.54,0,0,3.25,0,0
 48-58,0,0,0,0,3.02,0,26.77,0.82,0,8.03,0,1.96,0,0.41,0,3.73,2.35,3.32,2.49,365.92,0,0,0,6.72,0,0,0,54.09,0,0,0,0,0
 60-70,0,0,6.75,0,0,0,89.56,0,0,13.23,0,0.61,0,0,0,0,13.61,0,0,542.35,0,0,0,0,0,0,0,89.21,0,0.73,0.76,0,0
 72-82,0,0,0,0,0,2.68,99.45,0,0,7.53,1.12,0.75,0,0,0,0,5.06,0,0,470.82,0,0,0,1.67,0,0,0,36.85,0,0,4.82,0,0
 84-94,0,0,0,0,1.54,0.61,90.75,4.34,1.25,11.53,0,1.14,0,0,0,0,6.57,1.23,0,379.1,1.11,0,0,1.75,0.57,0,0,27.6,0,0.63,2,0,9.39
 96-106,0,0,0,0,4.71,0.62,66.6,6.53,1.73,9.01,0,0,0,0,0,0,7.4,0,0,333.12,0,0.57,0,0,0,0,0,15.95,0,0,0,0,0
108-118,0,0,0,0,2.2,0,53.93,0,0.62,11.7,0,0.8,2.21,0,0,0,4.19,0,0,477,0,0,0,0,0,0,0,5.2,3.03,0,0.72,0,0.51
120,0,0,0,0,0,0,72.8,0,0,8.08,0,0,0,0,0,0,0,0,0,560.55,10.22,0,0,0,0,0,0,12.88,0,0,1.62,2.27,0
