stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pronephros,somites,spinal_cord,taste,vasculature,xanthophores
  3-4,200.46,140.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,482.84,571.32,0,0,0,0,0,0,0,0,0,26.83,0,0,0,0,0,0,0,0,111.43,44.1,0,0,47.54,0,12.33,0,0,0,0,0,0
  7-9,88.5,4.86,15.29,0,0,7.94,0,0,0,0,0,48.87,0,0,0,0,0,0,0,0,110.62,47.33,0,0,232.32,0,0,0,0,0,0,0,0
 10-12,0,4.15,0,0,5.53,63.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,180.82,3.71,0,0,4.31,0,0,0,0,0,0,0,0
 14-21,0,0,0,2.42,2.51,0.96,0,0,0,0,0,0,0,0,0,0,0,0.83,0,0,207.33,0,0,0,0,0,0,0,1.67,195.01,0,0,0
 24-34,0,0,0,0,0,2.02,0,0,0,0,0,0,0,0,0,0,0,1.48,0,0.89,1269.26,0,0.61,2,0,0,1.95,0.91,0,328.16,0,1.15,0
 36-46,0,0,0,2.54,0,31.06,0,0,0,0,0.76,0,0,0,0,0,0.79,0.56,0,0,2489.38,0,0,0,0,0,0,0,0,452.24,0,0,9.59
 48-58,0,0,0,3.46,0,65.96,0,0,0,20.97,0,0,0.66,1.24,0.4,0,0,13.85,0,2.51,2717.34,1.5,0,0.46,0,0,4.61,0,0,550.15,0,0,9.5
 60-70,0,0,0,0.58,0,26.32,3.1,0,1.64,9.27,0,0,0,0,7.1,0,0,4.53,0,0,1257.44,0,0,0,0,0,2.25,0,0,237.19,0,0,0
 72-82,0,0,0,0.95,0,50.3,0.59,0,0,12.66,0,0,0,0,0,0,0,8.76,1.8,0,886.88,0,0.92,0,0,2.17,0,0,0,118.53,0,0,0
 84-94,0,0,0,0,0.66,46.25,0,0,0,2.72,0,0,0,1.59,0,0,0,0.72,0,0,499.74,0,0,0,0,0,0,0,0,73.95,1.79,1.34,0
 96-106,0,0,0,2.72,1.24,38.61,0,0,0.57,2.59,0,0,0,0,0,0,1.24,3.15,0,0,276.6,0,0,0,0,0,0,0,0,18.71,0,0,0
108-118,0,0,0,4.75,0,19.46,0,1.05,0,3.49,0,0,0,0,0,1.9,0,3.28,0,0,573.76,0,0,0,0,0,0,0,0,11.76,0,0,0
120,0,0,0,2.93,1.47,15.22,0,0,6.63,0,0,0,0,0,0,0,0,3.94,0,0,570.16,0,0,0,0,10.01,0,0,0,0,0,5.74,0
