stage,endocrine.pancreas,endoderm,erythrocytes,eye,fast.muscle,hatching.gland,mucous,neural
  7-9,0,0,0,0,0,72.87,0,4.52
 10-12,0,17.45,0,0,0,0,0,0
 14-21,1.23,0,0,0,0,0,0,0
 60-70,0,0,0,0,0,0,0,5.98
 84-94,0,0,0.88,0.87,1.17,0,0,0
 96-106,0,0,0,2.47,0,0,1.13,0
108-118,0,0,0,19.02,0,0,0,0
120,0,0,0,2.7,0,0,0,0
