stage,epidermis,eye,glial,ionocyte,mucous,mural.cell,neural,periderm,pronephros,spinal.cord
 14-21,0.81,0,0,0,0,0,4.4,0,1.64,0
 24-34,0.61,0,0,0,0,0,3.77,0,1.04,0.89
 36-46,0,0,0,0,0,0,8.07,0,9.05,0
 48-58,0,1.55,0,0,0,0,3.41,0,0.63,1.37
 60-70,0,2.44,0.69,0,0,0,1.67,1.3,0.93,0
 72-82,0.51,2.9,0,0,0,0.98,3.43,3.56,0,0
 84-94,0,0,0.78,0.6,0.76,0,2.32,1.64,0.97,0
 96-106,1.43,0,8.19,0,0,0,0,16.23,0,0
108-118,0,2.76,2.42,0,0,0,7.75,8.61,0,0
120,0,0,0,0,0,0,0,5.45,0,0
