stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.epithelia,glial,gut,hatching.gland,heart,iridophores,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,xanthophores
  3-4,1199.59,22910.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,862.74,0,0,0,0,0,0,0,0,0
  5-6,1221.84,15944.07,10.68,0,0,0,0,0,0,58.25,0,0,0,0,0,0,0,523.62,10.72,0,0,108.87,420.76,0,0,0,0,0,0,0,0,0
  7-9,198.6,168.32,275.81,0,0,519.49,0,0,0,171.69,0,0,0,0,0,0,0,4381.16,162.07,0,0,1492.71,19.72,22.23,0,0,0,0,0,0,0,0
 10-12,0,31.16,86.27,0,4.67,180.19,0,0,0,37.1,0,0,0,0,0,0,0,1376.28,33.89,0,0,528.45,0,23.73,0,44.27,0,0,0,0,0,0
 14-21,0,0,3.08,32.66,8.46,8.49,0,2.66,3.99,52.77,0,0,8.42,0.89,10.22,0,12.36,122.19,2.85,2.27,0,7.37,17.01,7.65,30.63,2.61,7.71,34.99,44.16,0,1.8,0
 24-34,0,0,0,1.72,1.41,3.22,0,0.61,0,39.25,0.76,0,0.84,0,2.03,0,3.45,44.19,0.65,0,0,0,12.77,0,0,0,0,1.03,12.91,0,0,0.89
 36-46,0,0,0,0.88,0,3.64,2.18,1.21,0,5.09,0,0,0.94,0.99,4.03,0,0,20.29,0,0,0,0,0.88,0,0,0,0,0,9.52,0,0,1.19
 48-58,0,0,0,0,0,1.9,5.49,3.08,0,1.41,0,0,1.73,0,0.95,0,0,11.98,0,0.38,0,0,1.05,0,0,0,0,0,1.84,0,0,5.51
 60-70,0,0,0,0,0,1.59,0,1.39,0,0.78,0,0,0,0,0,0,0,3.84,0,0,0,0,0.65,0,0,0,0,0,0.74,0,0,0
 72-82,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0.88,0,0.58,2.87,0,0,0,0,0.52,0,0,0,0,0,0,0,0,0
 84-94,0,0,0,0,0,0,0.97,1.19,1.91,0,0,0,0,0,0,0,0,1.1,0,0,1.58,0,0,0,0,0,0,0,2.01,0,0,0
 96-106,0,0,0,0,0,0,0,0,0.83,0,0,0,0,0,0,0,0,1.5,0,0,0.57,0,0,0,0,0,0,0,0,0.68,0,0
108-118,0,0,0,0.71,0,4.02,0.76,0,2.03,0,0,0,0,0,1.93,1.28,0,9.95,1.55,0,0.87,0,0.59,0,0,4.19,0,0,0,0,0,0
120,0,0,0,0,0,0,0,19.61,0,0,0,1.74,0,0,0,0,0,0,0,0,0,0,6.92,0,0,0,0,0,0,0,0,0
