stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vasculature,visceral_smooth_muscle,xanthophores
  3-4,55.57,1331.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68.57,0,0,0,0,0,0,0,0,0
  5-6,74.78,1772.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55.33,0,0,0,8.65,26.66,0,0,0,0,0,0,0,0,0
  7-9,31.89,61.25,0,86,0,0,0,263.03,0,0,0,0,23.29,0,0,0,0,0,0,0,0,0,0,0,1372.54,23.51,0,0,482.32,0,0,0,0,0,0,0,0,0,0
 10-12,0,50.31,0,31.27,0,15.01,0,140.56,0,0,0,0,30.07,0,0,0,0,0,0,0,0,0,0,0,1256.08,4.38,0,0,510.96,6.59,12.03,0,57.56,7.22,13.32,0,0,0,0
 14-21,0,0,0,2.66,62.2,22.07,0,46.3,0,0,12.55,1.69,4.97,0,0,1.35,0,0,0,0,59.86,0,0,41.87,737.27,10.93,0,18.13,20.04,12.82,0,54.83,3.15,55.89,202.43,0,4.46,0,0
 24-34,0,0,0,2.39,20.82,6.25,0,181.47,1.94,1.96,17.8,3.34,0,2.17,3.03,0,1.31,1.61,0.65,0,117.96,0.65,0,52.06,1370.65,2.29,1.7,13.32,0,41.02,0,0,2.29,4.1,270.75,0,25.99,0,1.44
 36-46,0,0,0,0,14.25,4.81,0,318.65,0,0.6,20.02,9.43,0,0,1.4,7.57,0,1.91,3.29,5.58,94.35,0,2.71,19.69,761.57,0,2.15,2.33,0,23.65,0,1,4.74,0,150.29,0,17.85,0,1.9
 48-58,0.77,0,0,0.4,18.01,0,0,375.72,0,2.47,30.15,1.28,0,2.14,3.41,0,0.38,0,0.66,0,87.17,0.49,2.46,19.91,378.1,6.36,0.4,2.49,0,6.66,0,0,0,0,53.15,0,24.36,0,0
 60-70,0,0,0,0,9.77,0,0,257.48,0,0,39.77,4.12,0,2.08,1.9,0,13.92,5.08,0,0,80.98,0,4.64,9.33,231.84,1.66,0,3.72,0,4.8,0,0,0,0,12.04,0,9.88,0,0
 72-82,0,0,0,6.62,4.18,1.45,0,99.43,0,0,27.57,3.13,0,2.3,3.31,0.52,0.67,1.27,1.38,0,79.2,1.29,2.8,5.22,148.2,0,0.81,4.59,0,1.65,0,0,1.87,0,7.99,0.67,10.25,0.57,1.1
 84-94,0,0,0,0.62,20.23,2.81,1.24,76.62,0,0.75,28.84,5.97,0,1.61,2.98,0.56,0,0,2.3,0,63.22,0,5.09,8.3,142.6,0,0.8,4.99,0,3.7,0,0,5.34,0,1.5,0,13.82,0,4.41
 96-106,0,0,0.99,0,13.55,1.13,0,67.02,1.07,0.72,21.08,5.11,0,0.62,1.43,0,1.6,1.53,3.93,0,50.72,0,13.6,6.92,77.07,0.77,0.57,8.58,0,2.58,0,0,1.33,0,4.91,1.17,9.88,0,0
108-118,0,0,0,0,16.04,3.75,1.7,75.11,0.94,0.59,14.82,4.97,0,0,8.19,1.3,1.11,2.21,2.4,0,31.07,0,0.46,3.87,110.37,0,0,7.75,0,5.76,0,0,0.9,0,6.22,2.29,5.52,0,0
120,0,0,0,0,5.38,8.17,0,83.5,0,0,56.56,2.85,0,0,12.2,0,3.82,0,0,0,39.11,0,2.08,7.89,130.81,1.17,1.45,0,0,5.81,0,0,0,0,0,0,5.24,2.31,8.94
