stage,epidermis,exocrine.pancreas,eye,fast.muscle,fin.epithelia,immune,ionocyte,iridophores,mesenchyme,neural,notochord,otic,periderm,slow.muscle,spinal.cord,vasculature
  7-9,0,0,0,0,0,0,0,0,0,3.63,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,1.25,0.86,0,0,1.68,0,0
 24-34,0,0,0,0,0,0,0,0,0,1.26,0.8,0,0.69,0,0,1.13
 36-46,0,0,0,0,0,0,0,0,0,8.44,0,0,0.64,0,4.68,2.25
 48-58,0,0,0,0,0,0,0,0,0,26.53,0,0,0,0,0,0.38
 60-70,0,0,3.1,0,0,0.98,0,0,0,12.8,0,0,0,0,0.61,0
 72-82,0,0,0,0,0,0.55,0,0,3.21,4.84,0,0,0,0,0,6.57
 84-94,1.79,0,13.76,0,0.68,0,0,0,2.15,2.74,0,0.89,0,0,0,0
 96-106,0.79,0,1.57,0,0,0,0,0,1.61,5.91,0,0,3.17,0,0,0.72
108-118,0,1.7,7.15,1.15,0,0,0.79,0.89,1.28,3.83,0,0,0.95,0,0,1.41
120,4.27,0,0,0,1.49,0,0,0,0,0,0,0,0,0,0,0
