stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,12.09,27.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,21.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.81,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.82,0,0,0,13.61,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.62,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0.95,0,0,0,0,0,0,0,0,0,0,0,0,1.4,0,0,16.49,1.05,4.79,0,0,0,0,0,4.7,0,0,0,0,0
 24-34,0,0,0.66,0,1.32,0,4.67,0,0,3.86,0,0,0,0,0,0,0,0,0,0,159.08,0,70.05,0,0,0,0,0.9,3,0,0,0,0,0
 36-46,0,0,1.4,0,0,0,12.49,0,0,11.7,0,0,0,0,0,0,0,1.09,0,0,300.62,0,60.58,0,0,0,0,0,5.11,0,0,0,0,0
 48-58,0,0,0,0,0,0,28.48,0,0,14.2,0,0,1.01,0,6.38,0,0,1.67,0,0.63,364.77,0,34.44,0.82,0,0.47,0,0,25.12,0,0,0,0,0
 60-70,0,0,0,0,5.7,0,124.96,0,1.54,10.7,0,0,0,0,1.21,0,0,2.93,0,0,371.54,0,36.44,0,0,0,3.12,0,10.78,0,0,0,0,0
 72-82,0,0,9.41,0,0,1.84,369.38,2.6,0,19.9,8.01,4.33,0,0,3.47,1.77,8.55,18.37,0.51,0,533,0,41.89,1.76,0,0,0,0,31.08,0,0.75,0,5.24,0
 84-94,0,0,8.71,0,4.54,8.42,274.09,0,8.29,35.67,0.97,0,10.4,0,8.48,8.06,0,5.04,2.76,0,558.91,0,42.77,3.83,0,0,1.24,0,18.18,0,0,0,1.68,0
 96-106,0,0,22.86,0,0,7.83,154.19,0,0,24.77,3.81,0,22.66,0.92,14.22,10.24,0,27.56,0,0,488.19,0,49.78,9.51,0,0,0,0,25.46,0,0,0,4.32,13
108-118,0,0,7.09,0.89,2.06,0,271.09,1.58,0,47.17,0,0,7.2,0,22.9,9.16,0,6.21,0,0.99,799.46,0,42.07,9.48,0,0,10.12,0,14.67,1.33,0,1.18,0,0
120,0,0,0,0,5.98,11.88,335.84,0,0,30.37,0,0,28.65,0,21.03,0,0,10.51,9.57,0,1324.99,0,67.89,4.08,0,0,0,0,24.81,0,0,0,0,0
