stage,axial,blastomeres,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,350.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.27,0,0,0,0,0,0,0,0,0,0,0
  5-6,7.81,137.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,4.72,0,0,0,0,0,0,0,0,0,0,0,29.27,0,0,0,3.23,0,10.41,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,13.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83.66,14.96,0,0,31.57,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,11.55,1.95,0,9.38,0,0,0,2.28,0,0,0,0,0.9,0,0,0,0,1.65,0,0,0,106.17,0,0,1.76,0,0,16.18,1.58,1.8,0,0,8.27,26.7,0,0,0.81,0,0
 24-34,0,0,0.71,7.99,0,0,27.27,0,0,0,0.65,0,0,0,0.88,2.77,2.57,0.75,0,0,4.69,1.13,0,6.07,236.42,0.97,6.59,16.65,0,0,67.59,0,0,1.06,4.41,3.36,66.51,0,0,5.8,0,3.2
 36-46,0,0,0,0,0.76,0,307.45,8.77,1.04,0,12.74,0.61,0,1.51,0,2.7,0,1.17,12,0,13.92,0,0,6.6,461.15,0,9.28,38.53,0,0,150.75,0,0,0,15.59,0,79.13,0,0,4.93,0,0.85
 48-58,0,0,0,5.84,5.44,0,803.21,0.57,5.34,0.59,109.03,1.92,3.95,0,15.11,5.14,6.72,1.45,0,4.46,48.05,0,0,20.84,737.14,4.1,18.32,13.42,0,0,62.06,0,0,0,16.55,0,131.63,0,0,2.34,0,2.24
 60-70,0,0,0,23.18,0,0,1380.44,3.96,0,0,168.62,1.57,0,0,1.42,0,0,5.52,0,0,71.67,0,0,4.09,842.36,0,36.32,22.53,0,0,61.44,0,0,1.35,19.1,0,123.14,0,0,1.7,1.92,1.66
 72-82,0,0,1.9,4.13,6.52,0,662.31,0.49,1.43,8.64,241.53,3.1,0,0,3.78,6.58,0.86,16.7,1.23,1.8,92.07,0.79,10.28,8.07,878.18,1.3,21.04,45.02,0,0,51.52,0,0,0,15.14,0,71.58,0,1.83,2.44,0,7.55
 84-94,0,0,2.16,9.49,8.74,0,435.63,14.57,8.51,4.87,141.76,5.38,0,0,5.7,11.2,2.22,7.28,2.4,1.39,63.24,0.75,10.45,13.62,512.09,3.82,40.63,59.29,0,4.76,129.4,0,0,0.67,15.5,0,22.74,0,0.63,3.81,1.13,0
 96-106,0,0,0,14.34,16.08,0.98,432.89,5.83,3.95,2.41,206.32,6.89,0,0,8.69,4.6,1.61,24.08,1.87,0,111.99,0.74,1.28,6.13,392.31,1.05,31.52,88.34,0,0,100.81,0,0,0,12.36,0,36.36,0.83,0,0,0,5.4
108-118,0,0,0,14.1,2.79,0.48,428.77,5.52,8.9,0.56,210.26,5.68,0,0,3.41,0.75,8.16,10.49,2.64,0,64.53,3.43,1.78,5.09,409.77,1.07,30.15,87.52,0,0,73.57,0,0,1.48,16.44,0,13.51,1.58,0,3.77,0.9,5.35
120,0,0,0,13.44,14.27,0,344.33,8.39,7.11,0,376.84,1.15,0,0,21.38,4.75,8.53,7.64,4.16,1.64,98.81,1.1,8.33,7.07,580.27,24.05,19.35,102.07,0,0,92.11,0,1.12,2.12,10.81,0,23.87,1.81,0,3.74,2.7,4.77
