stage,axial,blastomeres,epidermis,exocrine.pancreas,eye,fin.mesenchyme,glial,gut,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mural.cell,muscle,neural,olfactory,otic,paraxial.mesoderm,periderm,slow.muscle,spinal.cord,taste,vasculature,xanthophores
  3-4,23.94,364.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,13.19,133.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35.1,0,0,0,8.24,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.65,0,0,14.97,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.53,0,0,5.92,0,0,0,0,0,0
 14-21,0,0,2.01,0,0,0,0,0,0,0,0,0,0,1.01,0,0,8.42,0,0,0,0,0,0.9,0,0,0
 24-34,0,0,1.3,0,1.96,0,0,0,0,0,0,0,0,0,0,8.21,6.94,0,0.65,0,0,0,0,0,0,0
 36-46,0,0,0,0,0,0,0.92,0,0,0,0,0.74,12.43,1.55,0,0,9.46,0,0.61,0,0.62,0,2.71,0,0.74,0
 48-58,0,0,0.38,0,0,0,0.72,0,0.5,0,2.79,0,0,0.55,0,0.52,1.92,0,0,0,0,1.13,1.49,0,0,0.83
 60-70,0,0,0,0,3.27,0,8.5,0,0.6,0,0,0,0,0,0,0,7.6,0,0,0,0,0,0,0,2.67,0
 72-82,0,0,3.45,0,2.64,0.93,9.26,0.67,0,0,0,0,0,4.43,0,0,1.02,1.51,0,0,0,0,0,0,0,2.27
 84-94,0,0,0.59,0,11.52,0,28.27,0,0,0.6,0,0,0,0.95,0,0,5.38,2.48,0,0,4.93,0,9.76,0,0,0
 96-106,0,0,0,0,1.61,0,5.47,0,5.98,0,0,0,7.71,5.9,0,0,3.83,3.16,1.16,0,8.22,0,0.66,0,3.24,0
108-118,0,0,0.48,3.49,9.35,0,9.69,0,1.94,0,0,0,0,3.51,0,0,10.8,0.41,0,0,11.39,0,0,0.54,0,0
120,0,0,1.77,0,0,5.02,13.6,0,0,0,0,0,0,0,1.38,0,43.71,3.57,0,0,4.29,0,1.64,0,1.54,0
