stage,blastomeres,eye,hatching_gland,neural,notochord,paraxial_mesoderm
  3-4,11.1,0,0,0,0,0
  5-6,77.49,0,0,0,0,0
  7-9,8.3,4.61,0,26.72,6.06,7.5
 10-12,0,0,4.92,43.77,0,19.67
