stage,eye,fast.muscle,mesenchyme,neural,periderm,vasculature
 14-21,0,0,0,1.02,0,0
 24-34,0,0,0,0,3.44,1.04
 36-46,0,0,0,2.52,0,0
 48-58,0,1.1,0,0,2.64,0.45
 60-70,0,0.66,0,1.11,0.83,0
 72-82,0,0,0.49,0,0.71,0
 84-94,2.07,0,0,0,1.45,0
 96-106,0,0,0,0,1.88,0
108-118,0,0,0,0,1.05,0
120,0,0,0,0,2.65,0
