stage,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,heart,ionocyte,iridophores,mesenchyme,muscle,neural,olfactory,otic,paraxial_mesoderm,pericytes,periderm,slow_muscle,somites,spinal_cord,vasculature
  3-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.74,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,5.54,0,0,13.07,0,0,0,0,0,0
 10-12,0,0,3.11,0,0,0,0,0,0,0,0,0,32.41,0,0,10.78,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,7.72,0,0,0,0,0,0,3.13,3.88,0
 24-34,1.4,0.81,3.41,0,0,1,0,0,0,0,0,0,31.68,0,0,0,0,2.61,0,0,8.18,0
 36-46,2.02,0,6.9,0,0.75,0,0,0,0,0,0.68,0.68,94.62,0,1.34,0,0,5.9,0,0,12.38,0
 48-58,0,0,6.95,0,0,4.59,0,0,0,0,9.95,0,86.62,0,0,0,0,7.33,2.93,0,6.85,0
 60-70,0,0,20.38,0,0,9.52,0,0,0,0,3.07,2.9,130.72,0.96,0,0,0,1.39,0,0,20.83,0
 72-82,0,0,5.94,0,0,0.56,0,0,0,0,6.34,0.54,91.36,0.63,0,0,0,1.84,0,0,7.26,0.52
 84-94,0.56,0,19.76,0,2.3,2.52,0,2.4,0.8,0.96,8.24,0,75.8,2.48,0,0,0,10.65,1.24,0,19.57,0
 96-106,3.09,0,20.92,0,0,3.16,0,0,0.73,0,0,0,26.38,0.67,0,0,0,0.72,0,0,6.6,0.72
108-118,0.77,1.99,3.37,0,0,3.75,1.19,0,1.42,0,5.61,0,34.3,0,0,0,0,6.67,0,0,3.52,0
120,4.71,0,3.19,1.23,0,1.97,0,0,1.89,0,7.04,0,53.31,0,0,0,19.53,29.92,0,0,0,0
