stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,immune,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vasculature,visceral_smooth_muscle,xanthophores
  3-4,42.57,94.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.98,0,0,0,0,6.06,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,8.13,0,0,0,0,0,0,0,0,38.49,4.32,0,0,7.76,0,0,0,0,0,0,0,0,0,0
 10-12,0,6.05,0,5.29,0,0,3.45,0,0,0,0,0,0,0,0,0,0,0,0,0,184.98,7.35,0,0,41.97,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,1.29,0,8.64,1.84,0.85,0,0,133.41,0,0,0,0,0,0,0,4.23,0,2.57,80.82,2.55,0,9.19,2.58,0,0.9,2.66,123.88,0,6.9,667.49,0,0,0
 24-34,0,0,0,0,1.38,0,3.26,0,0,174.23,0,0,5.5,0,0,5.54,0,9.42,0,0,126.17,2.14,11.39,1.35,0,11.74,0,0,126.32,1.04,3.38,542.75,1.98,0,0
 36-46,0,0,0,0,8.09,0,16.41,0,0,96.2,0,0,0,0,0,0,0,0.59,0,0.69,152.16,0,13.98,0,0,0.65,0,0,71.34,0,0,315.15,0,0,0
 48-58,0,0,0,0,1.09,0,11.06,0,0,155.33,0,0,0,0,0,2.56,0,1.11,0,0,107.04,0,10.28,5.06,0,0,0,0,31.76,0,0,330.2,0.61,0,0
 60-70,0,0,0,0,0,0,7.05,1.16,0,123.73,0,0,0,0,0,0,0,0,0,0,95.17,0,9.27,0,0,0,0,0,22.31,0,0,182.88,0,0,0
 72-82,0,0,0,0,0,0,13.29,1.27,0,185.75,0.58,0,0,0,0.79,0,0,5.33,0,0.76,101.51,0,5.37,5.72,0,0,0,0,9.76,0,0,131.56,1.18,0.96,1.88
 84-94,0,0,0,1.75,9.58,0,13.04,1.77,0,139.7,0,0,1.06,2.52,4.04,0,0,0.94,0.59,0,41.71,3.07,22.51,1.71,0,0,0,0,22.37,0,0,184.51,0,0,0
 96-106,0,0,0,3.76,0,0,13.17,0,0,110.26,0,0,0,0,1.24,0,1.73,6.26,0,0,31.16,0,15.86,4.78,0,0,0,0,13.42,0,0,162.43,0.68,0,0
108-118,0,0,0,2.79,2.6,0,13.73,0.5,1.1,118.87,0,0,0,0,0.52,0,0,2,0,0,42.27,0.51,16.8,6.13,0,0,0,0,16.93,0,0,127.71,0.79,0,0
120,0,0,0,3.17,0,0,1.84,0,0,95.66,0,0,0,0,0,0,0,4.53,0,1.23,45.93,0,0,0,0,0,0,0,36.57,0,0,38.18,2.66,0,0
