stage,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,iridophores,liver,melanocytes,mesenchyme,muscle,neural,notochord,olfactory,otic,periderm,pronephros,slow.muscle,spinal.cord,vasculature,visceral.smooth.muscle,xanthophores
  7-9,0,0,0,0,0,0,0,0,0,0,4.32,0,0,0,0,0,0,0,8.6,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,15.32,0,0,0,0,0,0,0,13.39,0,0,0,0,0,0,0,0,0,0
 14-21,0,4.6,6.9,0,0,0,0,0,0,4.53,4.41,0,0,0,3.5,0,3.39,3.38,5.76,2.38,0,0,0,502.44,0,2.69,0,0,0
 24-34,0,20.34,10.73,5.24,32.98,0,0,0,0,16.2,1.75,1.43,0,0,7.79,3.78,1.57,6.22,52.89,0,0,0,15.88,1139.76,1.16,33.19,0,0,6.14
 36-46,0,4.47,3.43,0,33.12,0,0,0,0.79,17.83,1.01,2.39,0,0,14.48,0,0,0,30.92,0.71,0,0,0,619.67,0,19.71,0.94,0,0
 48-58,0,0,0.55,0,32.28,0,0,0,9.63,48.51,8.49,1.17,0,0,22.67,3.12,5.77,1.36,54,0,0,0,1.71,285.74,0,19.28,0,0,0
 60-70,0.86,0,0,0,32.35,0,0.84,2.53,39.44,59.81,5.52,0,0,0,0.81,0,4.43,0,121.2,0,0,0,2.26,349.83,0,35.84,0,0,0
 72-82,4.76,1.65,1.87,0.59,31.88,0,0,0,115.16,114.28,0.6,0,0.6,9.96,6.81,0,17.05,0,123.79,2.2,0,0,5.44,525.66,0,33.66,0,0,0
 84-94,0,3.14,0.96,0,41.53,0,0,0,71.17,181.48,1.92,1.04,4.23,5.23,30.28,0,13.32,0,111.46,1.24,0,3.11,3.72,922.93,0,42.25,1.18,0,0
 96-106,0.99,10.29,2.31,1.26,9.85,0.59,0,3.66,139.21,98.48,1.06,0,1.62,2.4,1.3,0,11.27,0.62,75.21,0,0,0.67,8.04,642.71,0,18.24,2.41,0.87,0
108-118,0,7.32,3.46,0,27.58,0,0,0,114.06,37.59,0,0,0,5.81,1.84,0,4.05,0.75,92.74,1.92,1.82,0,0.52,524.66,0,8.2,0.77,0,0
120,0,4.41,1.48,2.67,15.82,0,0,0,124.12,26.47,0,0,0,1.62,3.84,0,1.59,0,102.07,8.77,0,0,0,344.82,0,10.64,5.62,0,0
