stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vasculature
  3-4,0,63.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,70.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.33,0,0,0,0,0,0
  7-9,9.43,0,0,6.78,0,0,4.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.76,5.42,0,0,8.65,0,0,0,0,0,0,0,0
 10-12,0,12.13,0,8.84,0,0,4.05,0,0,0,0,0,0,0,0,0,0,7.47,0,0,0,0,509.19,0,0,0,23.89,0,0,0,12.56,0,0,0,0
 14-21,0,0,0,0,55.34,5.13,1.29,0,0,0,0,0,0,0,1.69,0,0,0,0,7.82,0,0,45.13,1.24,0.89,991.42,0.8,0,4.57,1.19,3.66,2.19,7.07,8.21,0
 24-34,0,0,0.8,0,2.86,2.05,4.97,0,0,0.74,3.42,0,2.35,0,0,0,0.61,0,1.29,2.57,0,2.9,74.85,0.67,0,31.34,0,0,6.57,0,0,0,0.94,16.95,7.16
 36-46,0,0,0,0,2.58,0,16.16,0,0,0,7.05,0,0,0,0,0,0,0,0,6.22,0,0.59,78.48,0,2.54,0.7,0,0,11.95,0,0,0,0,13.22,0
 48-58,0,0,0.68,0,0.73,0,26.25,0.85,0.41,0.39,4.72,0,0,0.5,0.37,0.62,0,0.41,0,4.21,0,2.15,72.04,0.39,1.91,0,0,0.47,8.51,0,0,0,0,5.91,0
 60-70,0,0,0,0,4.55,0,42.32,0,0,0.84,0,0,0,0.58,0,0.67,0,0,0,5.31,0,2.32,65.62,2.21,1.1,2.12,0,0,0.63,0,0,0,0,2.39,0
 72-82,0,0,0,0,1.33,0,30.56,0,0,0,3.8,0.7,0,0,0,0,0,0,0,11.41,1.33,0,46.49,0,4.49,1.72,0,1.4,3.76,0,0,2.68,0,1.86,1.81
 84-94,0,0,0,0,4.35,0,26.93,0,0,0,3.69,0.92,0,0.8,0,0,0,0,0,10.79,0,1.59,47.73,0,2.58,0,0,0,1.41,0,0,0,0,0,1.81
 96-106,0,0,0,0,5.35,1.14,37.32,0,0,0,10.86,1.63,0,0,0,0,0,0,0,10.61,0,0,26.59,0,0.56,0.69,0,1.54,2.58,0,0,0,0,0.68,0
108-118,0,0,0,0.74,4.09,0,17.72,0,0,1.39,2.8,0.52,0,0.71,0.67,0,0,0,0.94,1.66,0,1.5,33.85,0.42,0,2.56,0,0,2.97,0,0,0,0,0,0
120,0,0,0,0,1.33,0,29.54,0,0,0,0,1.68,0,0,0,0,0,0,0,10.94,0,1.96,51.77,0,0,0,0,0,2.57,0,2.39,0,0,0,0
