stage,epidermis,erythrocytes,eye,fin.mesenchyme,glial,gut,immune,mesenchyme,muscle,neural,periderm,spinal.cord,vascular.smooth.muscle
  7-9,0,0,6.27,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,32,0,0,0
 14-21,0,1.77,1.09,0,0,2.73,0,0,0,3.77,0,4.64,0
 24-34,0,0,0,0,0,0.97,0.61,0,0,10.72,0,17.48,0
 36-46,0,0,0,0,0,0,0,2.2,0,64.83,0,24.32,0
 48-58,0,0,2.19,1.69,0,0,1.66,2.57,0,73.41,0,6.26,0
 60-70,0,0,17.11,0,0,0,0,41.49,0.77,92.51,0,6.46,0
 72-82,0,0,5.75,0,0,0,0,35.92,0,61.27,0,5.4,0
 84-94,0.87,0,9.5,0,0,0,0,76.48,0,17.51,0.6,0,0.58
 96-106,0,0,0,0,0,0,0,27.14,0,27.25,0,0,0
108-118,0,0,4.43,0,0.93,0,2,33.09,0,65.52,0,5.37,0
120,0,0,0,0,6.26,1.47,0,24.07,0,100.05,0,0,0
