stage,blastomeres,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,glial,ionocyte,mesenchyme,mucous,muscle,neural,notochord,olfactory,periderm,somites,spinal_cord,vasculature
  5-6,32.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,22.64,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,5.39,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0.81,0.83,0,0,3.3,0,0,0,1.08,2.11,0
 24-34,0,1,0,0,0.74,0,0,0,0,0.93,0,11.01,0,1.47,3.07,0,4.71,0
 36-46,0,0,0,0,0.74,0,1.67,0,1.6,0,0,9.86,0,0,0,0,0.75,0
 48-58,0,0,0,0,3.47,0,1.66,0,0,0,0,10.88,0,0,0,0,1.09,0
 60-70,0,0,0,0,13.34,0.91,0.94,0,0,0,0.6,32.37,0,0,2.88,0,0,0
 72-82,0,0.69,0,0,16.64,0,2.36,0,0.77,0,0,27.36,0,0,1.88,0,3.46,0
 84-94,0,1.5,0,0,5.19,0,0,0,1.34,0,0,11.67,0.56,0,0,0,0,0.83
 96-106,0,0,4.93,0,0,1.24,0,0,0,0,0,3.5,0,0,0,0,0,0
108-118,0,1.28,6.58,0,5.33,0,0,1.58,5.65,0,0,8.92,0,0,0,0,0,0
120,0,0,0,1.71,16.95,0,0,0,0,0,0,47.08,0,0,0,0,0,0
