stage,axial,blastomeres,epidermis,erythrocytes,eye,fast_muscle,glial,mesenchyme,muscle,neural,olfactory,otic,paraxial_mesoderm,presomitic_mesoderm,somites,spinal_cord
  3-4,20.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,35.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,3.43,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,4.42,0,0,0,0,17.25,0,0,0,0,0,0
 14-21,0,0,0.81,0,0,0,0,0,1.56,2.08,0,0,0,0.98,2.94,0
 24-34,0,0,0.83,0,0,0,0,0.82,0,0,0,0,0,0,1.12,0.72
 36-46,0,0,1.24,0,0.66,0,0,1.84,1.93,4.66,0.72,0.95,7.09,0,0,0
 48-58,0,0,0,0,3.95,0,0,0.4,1.34,0.71,0,0,0,0,0,0
 60-70,0,0,0,0,3.46,0,1.93,4.53,0.74,0,0,0,0,0,0,0
 72-82,0,0,0,0,1.8,0,2.43,1.97,0,0.76,0,0,0,0,0,0
 84-94,0,0,1.06,9.12,0,0,5.46,3.92,1.43,2.67,0,0,0,0,0,0
 96-106,0,0,0,0,4.37,0,0.93,1.77,0,0,0,0,0,0,0,0
108-118,0,0,0,0,1.11,0,8.02,3.03,0.53,8.99,0,0,0,0,0,0
120,0,0,0,1.87,0,1.47,0,0,0,2.91,0,0,0,0,0,0
