stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,10.9,113.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,83.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.53,0,0,0,0,0,32.21,0,0,0,0,0,0,0,0,0,0
  7-9,17.85,0,0,3.54,0,0,0,33.53,0,0,0,0,4.55,0,0,0,0,0,0,0,0,0,0,0,187.04,23.02,0,0,55.29,0,3.89,6.03,0,0,0,0,0,0,0,0,0
 10-12,0,13.66,0,29.15,0,5.18,0,48.56,0,0,0,0,3.06,0,0,0,0,0,0,0,0,0,0,0,373.45,65.69,0,0,117.15,0,0,23.32,0,54.48,0,0,0,0,0,0,0
 14-21,0,0,1.07,4.08,58.77,25.5,0,19.7,0,0,4.25,6.59,0,0,0,0,0,0,0,1.99,35.11,0,0,21.19,166.21,10.48,0,3.82,0,0,10.34,0,13.07,1.56,9.15,58.38,0,0,3.51,0,0.84
 24-34,0,0,0.71,0,20.26,2.87,0,17.51,4.87,4.65,2.75,2.6,0,0,0,1.32,0,0,30.19,2.11,82.16,0.86,0,24.33,256.17,5.4,1.05,2.33,0,0,19.88,0,0,7.38,4.25,68.24,0,0,43.74,0,4.04
 36-46,0,0,0.98,0,10.55,0.81,0,48.4,0.58,15.62,41.17,1.46,0,0.72,0,0,0,0.62,7.54,10.26,81.3,0,0,34.4,271.28,0,0,4.18,0,0.97,48.41,0,0,11.43,0,58.17,0,1.25,12.46,0,7.24
 48-58,0,0,0,0,13.07,5.17,0,139.27,0.47,9.88,68.59,2.2,0,0.44,0,0,6.38,0.49,10.96,2.31,119.23,0.48,2.74,18.56,110.27,14.51,0.42,10.72,0,0,34.37,0,0,1.46,0,44.23,0,0.64,12.15,0,11.77
 60-70,0,0,4.68,0,14.66,0,0,254.87,15.82,6.6,71.39,1.36,0,1.5,0.57,0,0.63,0,8.67,0.71,105.68,0.62,3.02,8.59,68.13,10.73,1.33,6.07,0,0.66,28.6,0,0,21.73,0,36.63,0,0,7.99,1.46,13.24
 72-82,0,0,0.58,0,7.02,3.07,0,345.11,0.99,15.41,90.66,6.61,0,2.04,0,1.39,1.48,1.48,14.36,0,173.03,0,6.07,3.91,90.45,0,0,3.04,0,2.01,5.53,0,0,6.08,0,11.51,0.67,5.69,26.56,4.43,15.38
 84-94,0,0,0,1.04,7.02,0.69,0,342.28,11.38,18.4,63.5,7.02,0,1.45,0.97,0,1.96,0.66,19.38,0.73,132.07,0,3.66,5.79,53.08,3.59,1.5,13.54,0,3.57,19,0,0,23.94,0,14.44,0,0,19.73,6.37,2.79
 96-106,0,0,0,0,8.31,4.52,1.07,387.22,2.51,7.82,73.19,9.43,0,3.51,0.62,0,1.6,0,37.42,0,90.84,5.79,1.26,15.77,62.25,0,0,9.29,0,7.36,22.83,0,0,18.03,0,10.25,0,2.34,15.22,3.82,0.62
108-118,0,0,0.71,1.22,18.18,1.32,15.7,264.28,3.96,14.27,105.23,21.15,0,0.47,0,1.15,8.95,2.87,52.57,0,106,5.36,2.07,7.79,91.46,0.8,0,13.4,0,1.49,10.56,0,0,29.72,0,2.21,0,0.6,12.44,1.62,1.27
120,0,0,0,1.28,15.36,0,1.71,358.32,3.43,9.96,212.02,27.22,0,1.61,3.61,1.25,5.34,0,57.18,0,174.78,0,10.27,5.45,172.41,0,0,9.83,0,6.29,25.71,0,0,10.85,0,1.34,1.19,8,71.25,14.99,3.45
