stage,blastomeres,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  7-9,5.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.04,0,0,0,7.51,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,4.48,0,0,0,0,4.77,0,0,0,0,0,0,0,0,0,0,41.1,8.78,0,0,18.19,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,4.38,1.05,0,0,0,0,0.91,0,0,0,0,0,0,0,3.83,0,0,2.77,9.5,0,0,0.84,0,0,0,0,0,4.07,4.3,0,0,0,0,0
 24-34,0,2.24,0,2.25,0,0,0.86,0,0,1.36,2.17,1.57,1,0,0,8.81,0,0,0,49.01,0,0,0,0,0,5.89,0,0,1.22,8.48,0,0,5.54,0,0
 36-46,0,0.55,0,11.54,0,0,4.86,0,0,0,0,0.56,0.56,0,0,11.32,1.68,0,2.53,26.3,0,1.16,0,0,0,6.73,2,0,0,12.93,0,0,0.6,0,4.25
 48-58,0,5.59,0,6.73,0.41,0,4.27,0.41,0,6.05,0,0,0.81,1.04,2.47,8.15,0,0,2.8,15.13,0,0,0,0,0,2.43,0,0,0,4.17,0,0,8.09,0,0
 60-70,0,5.66,0,3.76,0,0.79,1.2,0,0,1.28,0,0.61,5.71,0,0,21.07,0,0,2.15,11.42,0,0,3.5,0,0,2.49,0,0,0,0,0,0,6.74,0,0
 72-82,0,1.62,0,8.99,0,0,0.89,0,0.52,5.7,0,11.1,0.67,0,1.95,12.03,0,0,1.9,24.9,0,0,0,0,0,2.66,0,0,0,2.41,0.56,0,13.03,0,4.13
 84-94,0,2.81,0.79,10.4,0,0,1.89,0,0,5.14,1.65,0.84,0,0,0,32.19,0,5.68,0.84,14.53,0,0,0,0,0,8.81,0,0,0,0,0.66,0,16.92,3.53,4.41
 96-106,0,2.88,0,7.03,0,0,2.81,8.07,0,8.84,0.68,0.58,0,0,0,15.4,0,0,0,5.34,0,0,0,0,2.98,22.42,0,8.13,0,0,0,2.79,35.84,1.22,0
108-118,0,6.64,0.92,0.9,0,1.17,3.5,0.8,0,6.05,0.43,5.84,0.56,0,2.19,26.26,0,0,4.02,16.83,0,0,0.9,0,1.8,2.88,0,0.67,0,0,0.42,0,6.68,1.28,3.89
120,0,3.74,0,0,0,8.35,8.7,2.94,0,3.41,0,0,0,0,0,20.21,0,0,1.9,13.86,0,0,0,0,0,13.23,6.53,0,0,2.02,0,0,79.54,0,0
