stage,blastomeres,endocrine.pancreas,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,olfactory,otic,paraxial.mesoderm,periderm,pgc,pronephros,somites,spinal.cord,taste,vasculature,visceral.smooth.muscle,xanthophores
  3-4,30.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,8.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,5.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.43,0,0,4.75,0,0,0,0,0,0,0,0,0
 10-12,4.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.43,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,2.94,1.83,0,0,0,0,0,0,0,0,0,0,0,1.98,0,0,4.73,14.68,0,5.4,0,0,0,0,0.99,8.26,0,0,0,0
 24-34,0,0.89,1.92,0,1.9,0,0,3.2,0,0,1.02,0,0,0,0,1.92,0,0,0,126.99,0,1.36,0,0.73,0,0,0,49.17,0,0.91,0,0
 36-46,0,0,4.58,0,3.49,0,0,5.41,0,0,0,0,0,0,0,0,0,0,0,431.36,1.03,0.72,0,0,0,0,0.83,83.41,0,0,0,0
 48-58,0,0,8.47,0.45,52.22,0,0,7.22,0,0,0,0,0,0,0,5.94,0,0,5.91,1069.76,0.58,0.82,0,3.11,0,0,0,161.86,0,2.83,0,0
 60-70,0,0,7.54,0,190.25,7.94,0,14.95,0,0,0,0,0,0,2.19,2.24,0,0,2.02,1426.47,2.52,1.01,0,1.33,0,0,0,150.81,0,0,0,2.87
 72-82,0,1.43,3.95,0.73,309.47,3.73,1.01,30.92,0,0,0,0,0.88,0,0,13.72,0,0,0.68,1992.42,0,1.07,0,0,0,0,0,184.81,1.23,11.91,0,2.08
 84-94,0,0.7,10.44,0,185.32,1.36,0,17.47,0,3.52,0,0,1.38,0,0,7.29,1.52,0.94,5.82,1275.44,0,6.74,0,7.88,0,0,0,137.7,0,0.97,0,0
 96-106,0,0,5.95,0,141.14,0.9,0,16.15,0.74,0,0,0.75,0,11.78,0,7.56,0,0.62,0,1139.63,0,1.42,0,5.41,3.82,0,0,43.63,0,0,1.91,6.26
108-118,0,0,12.29,0,168.21,0.42,0,13.06,0.42,0.86,0,0,0,2.5,0,4.3,1.14,4.52,0.66,1220.02,0,4.07,0,2.66,0,0.84,0,53.35,0,0,0.49,3.03
120,0,0,33.18,0,267.76,0,0,31.1,1.61,0,0,0,0,1.82,0,13.76,0,0,6.08,1698.04,7.91,17.7,0,12.92,0,0,0,63.97,0,1.1,0,0
