stage,blastomeres,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,iridophores,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,11.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.87,0,0,0,0,0,0,0,0,0
  5-6,37.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,0,0,0,14.53,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,4.52,0,0,0,0,0,3.74,0,0,0,0,0,0,61.77,0,0,0,22.76,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60.68,0,0,0,13.9,0,5.41,0,0,0,0,0,0,0,0,0
 14-21,0,0,5.68,1.8,0,0,0,0.87,0,0,0,0,0,0,0,1.02,0,0.89,66.24,6.55,0,0,1.39,0,3.53,4.24,0,1.71,6.86,0,0,1.07,0,0
 24-34,0,0,2.18,1.28,0,2.61,0,7.34,0,2.27,0,0,2.52,0,0,3.6,0,0.64,178.45,1.24,0,0.66,0,0,1.11,0,0,0,38.41,0,0,1.82,0,0
 36-46,0,0,0,0,0,5.21,0,16.71,0,4.37,0,0,0,2.12,0,6.83,0,0.67,169.45,0,0,0,0,0,0,0,2.28,0,53.32,0,0,0,0,0
 48-58,0,0,0,0,0,15.75,0,1.15,0.44,7.04,0,0,0,0,0,7.92,0,1.22,296.37,0,0,0,0,0,0.38,0,0,0,32.72,0,0,8.19,0,0
 60-70,0,0,0,0,0,22.66,0,3.94,0,8.35,0,0,0,0,0,9.84,2.07,0,217.02,0,0,0,0,0,0,0,0,0,8.23,0,0,0,3.28,0
 72-82,0,0,1.71,0,0,16.45,0,1.97,2.13,1.46,0,0,0,0,0,22.58,3.83,0.68,254.56,0,1.04,0,0,0,2.45,0,0,0,32.99,0,0.56,1.97,32.79,0
 84-94,0,1.2,4.32,8.17,0,17.2,0,3.84,0,3.29,1.22,0,0,0,0,17.99,2.95,0.55,215.85,0,0,0,0,2.56,3.42,0,0,0,3.12,2.8,3.35,0,42.71,2.9
 96-106,0,0,2.73,0,0,17.6,0,7.99,0,4.21,0.64,0,0,5.16,0,28.5,0,0.77,161.05,0,0,0,0,0,3.44,0,0,0,3.6,0,1.58,0,57.74,0
108-118,0,0,0,0.49,0,13.17,0.7,5.34,0,10.29,0.56,0,0,1.36,0.78,16.98,1.5,0,205.82,0,0,0,0,0,1.03,0,0,0,7.06,1.43,0,0,40.16,0
120,0,0,13.51,0,2.02,10.05,0,0,0,1.68,0,0,0,0,0,12.54,0,0,347.32,0,0,0,0,0,11.2,0,0,0,11.02,0,2.71,0,27.78,0
