stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_epithelia,glial,hatching_gland,heart,ionocyte,lateral_line,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,vasculature
  3-4,129.12,3446.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120.12,0,0,0,0,0,0
  5-6,242.63,2870.8,0,0,0,0,0,0,16.22,0,0,0,0,0,0,172.25,10.41,0,0,50.04,90.49,0,0,0,0,0,0
  7-9,30.19,24.91,73.22,0,0,44.6,0,0,40.93,0,0,0,0,0,0,1153.03,27.59,0,0,320.84,0,18.04,0,0,0,0,0
 10-12,0,25.6,17.85,0,0,46.34,0,0,19.99,0,0,0,0,0,0,356.1,43.51,0,0,150.86,6.59,6.41,0,17.35,0,0,0
 14-21,0,0,0,5.09,0.87,0.82,0,0.95,0,4.51,0,0,4.21,0,0.98,41,3.19,0,0,1.04,0,0,5.61,3.63,3.31,7.14,0
 24-34,0,0,0,1.62,0,0,0,1.71,0,0,0,0.88,4.52,0,0.72,18.94,0,1.06,0.71,0,1.82,0,0,0,0,3.86,1.83
 36-46,0,0,0,0.84,0,0.67,0,0,0,0,0,0,0,0,0,2.41,0,0,0,0,6.17,0,0,0,0,1.58,0
 48-58,0,0,0,0,0,0,0,0,0,0,0.61,0,0,0,0,4.91,0,0,0,0,2.2,0,0,0,0,2.14,0
 60-70,0,0,0,0,0,0.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 72-82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.77,0,0,0,0,0,0,0,0,0,0,0
 84-94,0,0,0,0,0,0,0,0,0,0,0,0,0,0.85,0.61,0,0,0,0,0,1.91,0,0,0,0,0,0
 96-106,0,0,0,0,0,0,1.21,0,0,0,0,0,0,0,0,0,0,0,0,0,3.08,0,0,0,0,0,0
108-118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.45,0,0,0,0,0.48,0,0,0,0,0,0
