stage,blastomeres,epidermis,erythrocytes,eye,fin.epithelia,glial,gut,hatching.gland,immune,ionocyte,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,slow.muscle,spinal.cord,vasculature
  3-4,41.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,81.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,3.23,0,0,0,0,0,46.9,18.51,0,0,17.04,0,0,0,0,0
 10-12,5.42,0,0,0,0,0,0,0,0,0,0,0,0,9.06,0,0,0,7.58,0,0,0,0,0
 14-21,0,1.11,0,0,0,0,0,0,0,0,2.63,0,1.23,7.21,1.69,0,0,0.85,0,1.12,1.46,4.45,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,0,1.61,0,0,0,0,1.4,0,0.82,3.05,0
 36-46,0,0.91,0,2.13,0,0.98,0,0,0,0,0,0,0,9.63,0,0,0,0,0,0,0,0.67,8.51
 48-58,0,0,0.63,0,0,0,0,0,0,0,7.02,0,0,7.58,0,1.78,0,0,1.21,0,0,1.4,0
 60-70,0,0,1.79,0,0,2.33,0.58,0,0,0,4.28,0,0,3.49,0,0,0,0,2.35,0,0,0.91,0
 72-82,0,0,14.32,1.78,0.73,0,0,0,0.67,0,3.16,0,0,6.54,0,5.41,0,0,6.74,0,0,0.9,2.49
 84-94,0,0,8.55,0,0,1.46,0,0,0,2.03,1.57,0,1.23,5.02,0,4.2,0,0,7.18,0,0,1.23,0
 96-106,0,0,11.78,3.8,0,1.19,0,0,0,0,0,0,0,2.8,0,1.86,0,0,7.68,0,0,0,0
108-118,0,0.47,2,6.71,0,4.01,0,0,0,0.9,1,0.7,0,10.35,0,0,0,0,1.05,0,0,0,0.45
120,0,1.96,4.28,0,6.25,3.22,0,0,0,0,0,0,0,14.79,0,0,2.11,0,0,0,0,0,0
