stage,blastomeres,endoderm,eye,fast.muscle,fin.mesenchyme,glial,mesenchyme,muscle,neural,notochord,paraxial.mesoderm,pronephros,spinal.cord,vasculature
  5-6,9.43,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,3.45,3.8,0,0,0,0,0,13.97,0,0,0,0,0
 10-12,3.15,0,0,0,0,0,0,0,31.55,0,12.6,0,0,0
 14-21,0,0,0,0,0,0,0,0,0.88,0,0,0,2.73,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0.79,0,0
 36-46,0,0,0,0,0,0,0,0,6.74,0,0,0,0,0
 48-58,0,0,1.02,0,0,1.22,2.85,0,8.42,0,0,0,1.93,0.47
 60-70,0,0,0,0,0,4.75,21.58,0,2.64,0,0,0,0,0
 72-82,0,0,0,0,0,0.68,24.03,0,4.88,0,0,0,0,0
 84-94,0,0,5.25,0,0,0,8.61,0,2.55,0.62,0,0,0,0
 96-106,0,0,0.77,0,0,1.21,34.17,0,0,0,0,0,0,0
108-118,0,0,1.88,0.42,0.45,0.94,27.42,0,0,0,0,0,0,0
120,0,0,0,0,0,0,59.58,2,0,0,0,0,0,0
