stage,epidermis,erythrocytes,eye,fin_epithelia,glial,gut,heart,immune,ionocyte,lateral_line,liver,melanocytes,mesenchyme,muscle,neural,otic,periderm,pronephros,spinal_cord,vascular_smooth_muscle,visceral_smooth_muscle
 14-21,0,0,0,0,0,0,0,0,0,0,9.46,0,0,0,0,0,0,0,1.15,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,1.51,0,0,1.02,3.46,0,0,2.2,0,0,0
 36-46,0,0,7.9,0,2.5,0,0,0,0.93,0,0,0,0.59,7.81,25.42,0.8,0,0,1.36,0,0
 48-58,3.23,0,17.75,0,0,0,0,0,0.4,0,4.31,0,1.89,1.19,46.06,6.01,0,1.73,6.35,0.61,0
 60-70,0,0,11.29,0,1.78,0,0,0,0,0,0,0,12.13,1.86,53.42,0,9.34,0,11.22,0,0
 72-82,0,2.14,67.06,0,6.52,0,0,0,0,0.79,0,0,7.15,0.94,115.97,3.4,0,1.36,11.86,0,0
 84-94,0.63,0,90.68,0,16.22,0,0,0,0,0,0,6.67,18.47,2.23,59.28,1.56,0,0,13.52,0.68,0
 96-106,1.39,0,71.35,0,14.32,0,0,0,0,0,3.12,0,2.74,1.33,46.41,1.73,0.59,0,21.27,1.74,6.28
108-118,0.43,0,85.18,0,10.08,0.59,3.6,0.65,0.43,0,3.58,0,6.61,0.6,71.92,0.98,0,0.42,6.03,0,0
120,9.79,0,64.62,7.87,10.43,0,0,0,1.06,1.69,2.83,1.61,4.88,9.66,165.6,0,0,4.24,12.18,0,0
