stage,axial,blastomeres,epidermis,erythrocytes,eye,fin.epithelia,glial,gut,heart,immune,lateral.line,mesenchyme,mucous,mural.cell,muscle,neural,notochord,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vasculature,visceral.smooth.muscle
  5-6,0,15.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.96,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.17,0,0,0,0,0,39.08,0,0,0,0,0,0
 14-21,0,0,0,142.44,0,0,0,0,16.93,0,0,10.47,0,0,1.14,6.18,0,0.86,0,0,1.03,0,0,5.96,0,0,121.85,0
 24-34,0,0,2.64,22.9,6.4,0,0,0,20.67,0,0,1.77,2.22,0,0,24.65,0,0,0,0.93,0,0,0,1.4,1.14,0,641.67,0
 36-46,0,0,1.52,2.34,2,0,0.82,0,32.72,0,0,0,0,0,1.57,43.2,0.7,0,0,2.79,0,0,0,0,1.2,0,912.8,0
 48-58,0,0,0,6.79,14.62,0,5.09,0,33.9,0,0,1.07,0,0,1.41,20.2,0,0,0.47,0.65,0,0,0,0,2.24,0,484.11,0
 60-70,0,0,0,2,5.76,0,2.39,0,6.82,0,0,9.75,0,0.64,0.75,30.65,0,0,0,0,0,0,0,0,3.48,0,396.98,0
 72-82,0,0,0,1.19,1.18,0,5.44,0,12.55,0,0,15.44,0,0,0,4.53,0,0,0,0,0,0,0,0,0,0,432.93,0
 84-94,0,0,0,0,10.92,0,0,0,25.8,0,0,18.75,0,0,0,4.98,0,0,0,0,0,0,0.57,0,0,0,516.18,0.82
 96-106,0,0,5.49,27.96,9.4,0,1.27,0,21.91,1.07,0.66,36.44,0,16.09,0,16.72,0,0,0,0,0,2.31,0,0,0,0.67,467.49,2.27
108-118,1,0,0,0.61,16.44,0.57,3.53,0,10.65,1.68,0,22.9,0,0,0,17.12,0,0,0,3.28,0,1.11,0,0,0,0,549.32,1.05
120,0,0,0,64.7,6.58,0,0,1.46,12.03,0,0,14.62,0,0,0,5.44,0,0,0,0,0,0,0,0,0,0,462.38,0
