stage,epidermis,eye,glial,gut,ionocyte,lateral.line,mesenchyme,mucous,muscle,neural,olfactory,presomitic.mesoderm,spinal.cord,taste,vasculature
 14-21,0,0,0,0,1.89,0,0,1.86,0.9,0,0,2.38,2.21,0,0
 24-34,1.17,0,0,0,1.15,0,0,0,0,11.26,0,0,0,0,0
 36-46,0.9,1.03,0,0,0,0,1.55,0,0,10.29,0,0,10.88,0,0
 48-58,0.71,0.85,0,0,0,0,1.64,0,0,4.64,0,0,4.34,0,0
 60-70,0,0,1.32,0.96,1.79,0,0,0,0,2.6,0,0,1.49,0,0
 72-82,0,0,0,3.9,0,0,2.66,0,0,6.42,0,0,0,0,0
 84-94,0.69,0,4.75,8.45,2.41,0,0,0,0,3.77,0,0,0,0,0.61
 96-106,2.09,0.87,0.7,27.38,0,1.5,3.86,7.39,0,14.59,2.03,0,0,0,0
108-118,0,3.45,0,38.08,0,0,1.73,0,0.94,4.07,0,0,0,0.49,0
120,3.53,13.8,0,21.64,0,0,0,0,0,3.19,0,0,0,0,0
