stage,axial,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 14-21,0,1.23,23.15,325.92,83.8,0,132.22,0,1.16,0,74.05,21.48,0,4.11,0.9,8.33,0,2.41,0,3.68,164.99,0,0,180.36,2188.07,103.36,8.06,21.71,77.6,0,36.89,6.06,269.59,25.02,16.36,217.22,879.05,0,0,18.06,0,3.5
 24-34,0,0.6,9.52,48.82,3.67,0,207.36,0,2.03,0.72,64.27,2.3,2.27,3.74,5.14,4.03,2.51,0.68,2.99,6.24,231.83,0.68,1.58,110.26,2051.92,6.17,24.75,9.99,0,0,29.09,0,0,5.88,0.89,19.36,550.22,0,0,74.14,0,13.3
 36-46,0,0,0.56,20.88,6.99,0,472.23,0,2.6,4.92,87.56,0.72,0,2.26,2.77,0,1.76,0.89,2.13,0,214.79,2.71,4.63,83.71,1618.8,4.34,14.88,6.45,0,0,36.5,1.79,0,3.47,0,0,487.2,0,2.27,24.99,0,6.68
 48-58,0,0,0.42,32.71,0.68,0,621.01,0,3.99,6.28,139.65,1.35,0,3.13,0,3.53,1.81,0,7.47,1.25,198.38,0.7,6.47,55.75,940.19,0.45,15.98,1.23,0,0,17.69,0.98,0,1.62,0.68,0,263.3,0,1.25,14.93,0,7.23
 60-70,0.81,1.54,0,16.08,0,0,1088.48,1.09,1.57,6.72,203.46,1.93,0,3.14,2.22,2.84,3.7,1.35,1.98,0,203.64,0,23.25,35.5,1095.35,0,12.98,6.5,0,1.88,4.83,0,0,0.59,1.84,0,184.14,0,1.37,13.88,5.35,3.92
 72-82,0,1.37,0,20.76,3.62,0,797.52,0,0,12.89,169.34,3.24,0,2.52,3.28,2.19,1.96,2.64,0,0,163.82,1.36,10.74,15.17,823.72,0,15.01,7.57,0,2.66,10.25,0,0,0.97,0,0,95.97,0.56,5.73,17.4,2.65,6.47
 84-94,0,0,0,37.31,3.02,1.54,568.51,1.81,5.08,7.33,111.82,5.03,0,0.6,11.36,1.32,6.55,2.5,0,0,133.92,1.59,7.23,24.87,547.05,0,13.32,6.5,0,0.57,16.19,0,0,0.63,0,0,78.66,2.17,2.97,14.48,1.16,0.59
 96-106,0,0.99,0,24.9,0.67,0,553.14,0,4.09,2.2,130.28,5.14,0,2.38,7.49,3.95,0.74,5.32,3.25,0.75,149.86,0,0,14.22,558.64,0.59,13.58,8.61,0,8.32,23.77,0,0,1.75,0,0,17.93,1.13,4.52,17,6.13,8.57
108-118,0,1,0,19.67,3.94,0.75,374.38,0,6.72,8.61,141.28,4.55,0,0,10.01,4.25,2.37,1.5,1.91,4.57,108.96,1.47,5.93,30.06,625.85,3.89,13.78,7.46,0,0,13.25,0,0,2.79,0,0,37.3,1.93,0,22.5,3.7,4.16
120,0,0,0,24.06,3.23,0,187.37,0,0,3.07,63.64,1.34,0,0,0,1.45,1.74,1.88,9.21,0,57.72,0,9.1,5.5,433.21,0,1.26,8.18,0,0,6.8,0,0,0,0,0,30.33,5.67,1.95,7.18,0,15.67
