stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,immune,ionocyte,lateral_line,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,31.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.9,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,13.58,0,0,0,0,0,0,0,0,42.32,0,0,0,18.88,0,0,0,0,0,0,0,0,0
 10-12,0,25.6,0,8.02,0,0,0,0,0,7.83,0,0,0,0,0,0,0,0,346.98,0,0,0,79.3,0,3.1,3.57,0,0,0,0,0,0
 14-21,0,1.03,6.94,0,1.71,0,0,2.08,0.81,0,0,0,0,0,2.63,0,0,2.27,17.23,0,0,1.38,0,0,0,0.91,0,2.88,3.53,0,0,0
 24-34,0,0,5.51,0,4.25,1.11,0,0,0,0,0,0,0,0.59,3.44,0,0,0,27.74,1.3,0.9,0,0,0,0.89,0,0,0.65,3.27,4.52,0,1.45
 36-46,0,0,0,0,3.47,0,3.55,0,0,0,0,9.55,0,0,3.04,0,0,0,19.36,0,0,0,0,0,0,0,0,0,2.8,2.22,0,0
 48-58,0,0,0.4,0,8.65,0,0,1.59,0,0,0.59,0,0,0,7.19,0,0,0.42,36.34,0,0,0,0,0,0,0,1.25,0,5.9,0,0,0
 60-70,0,0,0,0,6.42,10.69,0,1.1,0,0,0,0,1.2,0,2.31,0,6.48,1.33,7.17,0,1.1,0,0,0,1.42,0,0,0,0,0,0,0
 72-82,0,0,0.66,0,7.24,0,0,0,0,0,1.23,0,0,2.93,4.05,0,0,0,13.1,0,0,0,0,0,0,0,0,0,2.57,0,1.95,0
 84-94,0,0,0,0,3.37,0.63,0,1.69,0,0,0,0,0,0,2.79,0,0,1.52,16.26,0,0,0,0,0,1.39,0,0,0,0,0,0,0
 96-106,0,0,0,0,1.52,0,0,0,0,0,0,0,0,0,1.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.25,0,0
108-118,0,0,0,6.38,12.9,0,0.45,0,1.48,0,3.52,0,0,0,11.42,0,0,0,15.07,0,0,0,0,2.71,1.02,0,0,0,0,2.11,0,0
120,0,0,0,0,12.19,0,7.2,14.55,1.29,0,0,0,0,0,24.58,2.91,0,0,51.96,0,0,0,0,0,12.71,0,0,0,0,0,0,0
