stage,blastomeres,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,immune,iridophores,liver,mesenchyme,mural_cell,muscle,neural,olfactory,paraxial_mesoderm,periderm,pronephros,spinal_cord,taste,vasculature,xanthophores
  3-4,11.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,8.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.69,0,0,0,0,0
  7-9,0,0,4.58,0,0,0,0,5.4,0,0,0,0,0,0,41.82,0,10.43,0,0,0,0,0,0
 10-12,0,0,3.28,0,0,0,0,0,0,0,0,0,0,0,7.17,0,29.1,0,11.29,0,0,0,0
 14-21,0,2.38,0,0,0,0,0,0,18.13,0,0,0,0,0,0.95,0,0,0,0,0,0,0.86,0
 24-34,0,5.29,0,0,0,0,0,0,93.27,0,0,0,0,0,9.23,0,0,0,0,0,0,9.33,0
 36-46,0,1.78,0,0,0,0,0,0,140.12,0,0,0,0,0,2.34,1.21,0,0,0,0,0,14.78,0
 48-58,0,5.85,1.12,0,0.88,1.01,0,0,100.23,0,0,0.61,0,0,20.96,0,0,0,0,5.04,0,22.94,4.52
 60-70,0,7.94,14.58,0,0,0,0,0,109.84,0,0,5.95,0,0,2.58,0,0,0,0,0,0,24.3,0
 72-82,0,16.17,0,0,0,0,0,0,152.19,0,0,11.3,0,0,24,0,0,0,0,1.94,0,32.63,0
 84-94,0,12.97,1.13,0,0,7.14,0,0,217.21,0.55,0,14.28,2.76,0.8,3.1,0,0,0,0,0,0,27.47,0
 96-106,0,17.29,5.22,2.75,0,1.17,0,0,229.72,0,0.63,17.49,0,1.7,11.54,0,0,0,0,0,1.57,31.05,0
108-118,0,34.09,3.01,0.45,0.59,1.14,0.45,0,174.34,0,0,18.1,0,0,18.55,0,0,0,0,1.38,0,30.68,0
120,0,49.86,3.78,0,0,0,0,0,315.96,0,0,24.77,0,0,0,0,0,1.46,0,0,0,40.53,0
