stage,blastomeres,endoderm,epidermis,erythrocytes,eye,glial,gut,heart,immune,ionocyte,iridophores,melanocytes,mesenchyme,muscle,neural,notochord,olfactory,paraxial_mesoderm,pericytes,periderm,pronephros,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,21.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,7.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,3.52,0,0,151.81,0,0,0,0,0,0,0,0,0,191.96,0,0,10.44,0,0,0,0,0,0,0,0
 10-12,3.64,10.24,0,0,132.05,0,0,0,0,0,0,0,0,0,476.87,8.87,0,34.53,0,0,10.04,0,0,0,0,0
 14-21,0,0,0,0,4.46,0,0,0,0,1.35,0,0,0,0,56.35,1.38,0,0,0,0,0,10.79,0,0,0,0
 24-34,0,0,0,0,3.95,0,0,0,0,0,0,0,0,0,56.74,0,1.03,0,0,0,0,32.66,0,0.79,0,0
 36-46,0,0,0,0,0.71,2.27,0,0,0,0,0,0,0,0,124.85,0,2.08,0,0,0,0,18.36,0,0,0.78,0
 48-58,0,0,0,0,22.02,2.2,0,0,0,0,0,6.17,3.29,0,159.12,0,0,0,0,0,0,33.89,0,0.51,0,1.85
 60-70,0,0,0,0.6,87.75,1.17,0,0,0,0,0,0,3.83,0,395.97,0,0,0,0.97,0,0,29.02,0,1.16,0,0
 72-82,0,0,5.45,0,171.95,7.86,0,0,3.97,0,0,0,11.25,0.88,409.84,0,0,0,0,0,0,14.71,0,0,0.93,10.93
 84-94,0,0,5.27,0,139.91,4.46,0,1.02,0,0,0,0,8.82,2.85,310.67,0,0,0,0,0,0,13.33,0,7.75,0,0
 96-106,0,0,5.72,0,136.83,3.62,0.59,0,4.2,0,0,0,30.29,0,319.51,0,0,0,0,5.04,0,7.15,0.67,0,0,8.81
108-118,0,0,4.26,0,245.76,2.3,1.32,0,5.28,0,2.7,0,13.72,0,398.25,0,0,0,0,0,0,11.56,0,8.01,1.46,0
120,0,0,0,0,156.26,8.22,0,0,9.69,0,11.74,0,4.34,0,468.83,0,0,0,0,0,0,5.78,2.24,0,0,0
