stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,11.99,415.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.85,0,0,0,0,0,0,0,0,0,0
  5-6,18.53,416.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.38,0,0,0,10.04,0,14.68,0,0,0,0,0,0,0,0,0,0
  7-9,0,4.16,0,0,0,0,0,10.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45.28,0,0,0,8.94,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102.91,0,0,0,32.12,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,7.54,1.63,0,6.94,0,0,0,2.08,0.83,0,0,0,0.91,0,0,0,0,7.99,0,0,1.44,102.13,2.97,0,2.52,2.71,0,3.03,0,5.54,0,4.24,40.18,0,0,0,0,0
 24-34,0,0,0,2.79,2.76,0,0,12.42,0,0,0.78,1.43,0,0,1.13,0,3.72,0,0,1.3,0,5.94,0,0,0.59,126.97,0,1.31,1.36,0,0,12.22,1.06,0,0.69,1.99,12.49,0,0,0.64,0,1.99
 36-46,0,0,0,0,8.25,0,0,19.68,0.68,0,0.81,7.6,0.58,0,1.17,0,0,0,0,0,8.42,16.52,0,0.67,2.25,189.88,0,11.51,0,0,0,4.62,0,0,9.3,0,45.29,0,0,4.46,0,0
 48-58,0,0,0,0,5.2,0,0,38.08,0.93,0.42,0,6.4,0.67,0,1.05,0,1.05,0,0,1.31,0.6,20.18,3.19,0,2.7,91.42,0,2.12,1.08,0,0,5.9,0,0,0,0,24.09,0,0,1.27,0,1.85
 60-70,0,0,0,0,6.66,0,0,124.04,1.59,1.92,0,19.48,0,0,0,3.98,0,0,0.73,2.78,0,29.75,0,3.81,2.45,116.21,0,7.57,0,0,0,0.83,0,0,0,0,27.64,0,0,1.05,0.98,8.44
 72-82,0,0,0,0,8.45,0,1.04,63.36,0,0,1.24,10.32,3.29,0.59,0,0.54,0,0,2.94,3.11,2.74,29.49,0,0.51,1.22,56.96,0,7.5,1.16,0,2.36,1.07,0,0,0,0,20.2,0,0,0.8,1.78,0
 84-94,0,0,0,0,6.77,0,0,99.58,0,0.63,1.21,20.74,2.77,0,1.85,1.49,0,0,0,0.99,1.35,42.12,0,0.93,0,38.21,0,1.11,3.21,0,0,5.87,0,0,0,0,2.77,0,0.69,5.26,0.98,5.14
 96-106,0,0,3.53,0,3.57,0.96,0,63.37,0,1.69,2.94,8.29,6.43,0,1.46,7.76,2.5,0,2.14,0,0.68,46.49,4.17,0,0.59,54.11,0.66,9.56,3.02,0,0,5.86,0,0,0,0,6.34,2.08,0,6.38,0.69,6.42
108-118,0,0,0,0.74,16.33,0.9,3.13,69.13,6.53,0,2.41,13.74,2.89,0,0,8.52,3.65,0.82,1.87,1.75,1.15,27.24,0.6,1.21,2.08,101.04,1.26,4.29,7.92,0,0,3.3,0,0,0.45,0,0,0.43,1.35,9.31,0,0.51
120,0,0,0,0,17.55,0,0,45.39,0,0,0,20.99,9.96,0,0,1.23,0,0,0,6.35,3.89,36.94,0,0,21.87,98.61,0,1.15,2.11,0,0,15.59,0,0,0,0,3.84,0,0,1.1,4.47,0
