stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,iridophores,lateral.line,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle
  3-4,17.18,41.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,114.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.29,0,0,0,8.65,18.43,0,0,0,0,0,0
  7-9,0,8.77,0,238.23,0,0,3.35,0,0,0,0,9.46,0,0,0,0,0,0,0,0,0,287.09,0,0,0,25.71,0,0,0,0,0,0,0
 10-12,0,4.72,0,163.9,0,0,10.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,612.08,99.06,0,0,135.09,3.81,0,29.61,0,0,0,0
 14-21,0,0,2.16,0,1.9,0.95,0.87,0,0,71.02,0,0,0,0,0,0,0,5.08,0,0,1.82,65.75,0.9,5.83,5.9,0,3.08,1.46,79.02,1.66,251.2,0,0
 24-34,0,0,1.33,0,1.89,0,2.64,0,0,92.29,0,0,0,0,0,0,0,4.72,0,0,0,76.76,1.39,39.99,2.92,0,0,0,32.72,4,172.76,0,0
 36-46,0,0,0,0,1.63,0,1.4,0,0,92.63,0,0,0,0,0,0,0,0,0,1.94,0,94.94,0,50.82,0.65,0,0.57,0,35.01,0,133.58,0,0
 48-58,0,0,0,0,3.54,0,12.24,0.45,0.82,66.64,0,0,0,0,0,1.9,0,9.22,1.73,0,1.02,109.55,0,26.53,11.04,0,0,0,2.95,0,112.32,0,0
 60-70,0,0,0,0,0,0.77,0,0,0,55.26,0,0,0,0,0,3.89,0,2.46,0,0,0,80.08,0,28.21,9.25,0,0,0,0,0,54.48,0,0
 72-82,0,0,0.62,0,1.36,0,16,0,0,66.45,3.23,0,0.58,0,0,8.45,0,15.78,0,0.63,1.05,150.09,0,36.13,8.78,0,0,0,2.3,0,97.97,0,0
 84-94,0,0,1.53,1.92,0.61,0,10.05,0,0,49.76,1.52,0,0,0,0,3.35,0,0.67,0,0,0,72.35,0.69,58.6,29.06,0,0,0,6.25,0,49.01,0,0
 96-106,0,0,0,0,0,0,12.34,0,0,36.26,3.08,0,0,0,0,11.44,0,21.38,0,0,0,73.44,0,68.74,21.57,0,1.44,0,4.09,0,43.29,0,1.96
108-118,0,0,0,1.15,2.12,0,13,0,0,55.98,1.62,0,0,1.17,2.12,5.99,0.83,19.4,0,0,0,89.95,0,31.91,18.32,0,0,0,5.56,0,33.01,0.67,0
120,0,0,0,0,0,0,8.86,0,0,33.7,0,0,0,0,0,7.09,0,17.03,0,0,2.95,123.49,0,33.95,9.45,0,0,0,8.97,0,39.96,0,0
