stage,endocrine_pancreas,epidermis,eye,glial,ionocyte,mesenchyme,mucous,muscle,neural,otic,paraxial_mesoderm,spinal_cord
  7-9,0,0,0,0,0,0,0,0,0,0,10.82,0
 14-21,0,0,0,0,0,0,0,2.54,1.34,0,1.3,1.25
 24-34,0,0,0,0,3.04,0,0,1.03,2.91,0,0,2.84
 36-46,0,0,0.63,0,0,0.86,4.32,0,5.05,0,0,0
 48-58,0,0,0,1.43,0,1.71,0,0,2.67,0,0,0.44
 60-70,0,0,0,4.44,0,0,0,0,1.63,0,0,2.24
 72-82,0,0,2.53,0,0,3.62,0,0,3.6,0,0,0
 84-94,0,0.66,2.27,0,1.16,0,0,0.59,1.43,0,0,0
 96-106,0,0,4.73,0,0,1.21,0,0,0,0,0,0
108-118,0.61,0,7.35,0,0.93,0,0,0,1.23,7.74,0,0
120,0,0,0,0,2.58,0,0,0,3.59,0,0,0
