stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_epithelia,glial,gut,hatching_gland,ionocyte,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,vasculature
  3-4,0,127.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,24.31,96.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,3.81,26.96,4.13,0,0,21.81,0,0,0,3.85,0,0,0,0,0,0,0,147.32,0,0,0,35.98,0,0,0,0,0,0
 10-12,0,5.43,13.12,0,8.6,0,0,0,0,7.26,0,0,0,0,0,0,0,108.96,0,0,0,63.71,0,0,4.8,0,0,0
 14-21,0,0,0,7.35,1.49,2.03,0,1.02,0,2.31,0,0,0,5.04,0,0,4.45,50.42,0.83,0,1.99,1.7,6.86,2.69,0,0,12.79,1.63
 24-34,0,0,1.2,0.61,1.01,6.26,0,1.89,0,0,0,0,0,9.21,0,0,4.95,41.82,1.71,0,0,0,6.47,0,0,0.64,7.65,0
 36-46,0,0,0,8.57,0,7.78,0,0.57,0.74,0,0,3.24,0,12.25,0,0,1.24,19.56,0.64,0,0,0,4.22,1.63,0,0,3.45,0
 48-58,0,0,0,3.4,0,9.69,2.58,0.51,0,0,0,0,0,1.54,0,0,1.31,39.31,0,1.2,0.37,0,2.02,0,0,0,0.39,0
 60-70,0,0,0,0,0,18.35,0,8.61,0,0,1.1,0,0,1.59,0,0,1.26,7.25,0,0,0,0,0,0,0,0,0,0
 72-82,0,0,0,0,0,0.51,0,2.12,0,0,0,0,0,0.73,0,0,0,2.82,0,0,0.91,0,0,0,0,0,0,0
 84-94,0,0,0,0.68,0,0.71,0,0,1.82,0,0,0,0,0.88,0,1.93,0,6.84,0,0,0,0,0.72,0,0,0,0,0
 96-106,0,0,0,0,0,2.85,0,0,0,0,0,0,0,0,0,0,0,7.88,0,0,0,0,0,0,0,0,0,0
108-118,0,0,0,4.15,0.73,2.18,0,0.72,0,0,0,0,1.97,2.46,3.95,0,3.08,5.51,0,0,0,0,0,0,0,0,0,0
120,0,0,0,1.51,0,0,0,12.41,0,0,0,0,0,12.51,0,0,2.4,6.88,0,0,0,0,0,0,0,0,2.31,0
