stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,14.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,44.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.27,0,0,0,0,0,0,0,0,0,0
  7-9,15.62,13.55,0,4.21,0,0,0,64.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,276.26,4.97,0,0,42.29,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,204.15,0,78.86,0,0,0,497.46,0,0,0,0,0,0,0,0,0,0,0,5.32,0,0,0,0,3724.74,5.15,0,0,80.84,0,3.1,6.12,3.49,0,0,0,0,0,0,0,0
 14-21,0,0,0,2.2,1970.28,77.01,0,1119.94,0,5.9,0,46.56,0,0.97,0.97,0,1.35,0,1.07,0,225.43,4.39,0,97.35,7280.11,137.07,13.56,4.97,41.93,0,5.16,16.11,126.82,4.26,10.14,854.37,0,0,12.96,0,0
 24-34,4.02,0.83,0,6.56,874.91,4.89,0,637.89,0,42.42,0,209,0.61,0,1.17,0,0.74,1.67,4.45,8.52,127.36,10.12,0,40.82,4587.07,1.02,32.76,2.86,0,0,2.4,0,21.81,2.15,0,1468.99,0,0,132.35,0,1.51
 36-46,0,0,0,0,541.25,0,0,291.25,0,84.48,0,452.67,2.82,0,5.4,0,0.91,0.56,2.5,0,81.03,5.87,18.42,18.72,2858.76,3.87,7.8,2.62,0,0,7.89,0,12.5,0,0,1519.76,0,0,70.38,0,0
 48-58,1.15,0,0,0.43,530.61,0.65,0,164.17,0,169.84,1.15,519.12,0.47,0.93,23.04,5.68,0.91,0,6.98,0,111.78,4.7,42.36,14.99,1325.05,1.44,1.85,11.58,0,3.52,5,0,7.26,0,0,789.56,0,1.48,47.24,0.78,12.68
 60-70,0,0,0,0,356.09,9.11,0,568.26,0,130.92,3.27,506.27,9.86,0,53.55,1.03,16.01,0,3.29,0.95,199.35,0.65,73.81,14.68,656.16,0.64,2.41,2.69,0,0,5.39,0,1.59,0,0,152.75,13.59,9.68,49.46,15.03,0
 72-82,0,0,0,2.76,194.29,2.24,0,1404.65,2.53,75.58,9.95,468.81,15.45,0,64.92,1.2,16.54,2.19,9.72,1.85,270.23,1.46,77.73,8.92,499.34,0,3.78,15.06,0,5.7,4.03,0,10.25,0,0,68.62,11.08,18.37,86.72,22.96,12.63
 84-94,0,0,4.93,5.52,360.3,0.83,0,1010.77,0,138.13,0,407.31,26.31,0,28.72,0,42.82,0,13.77,5.54,245.99,2.01,99.25,10.27,368.8,0.57,3.71,7.1,0,16.9,8.38,0,20.36,0,0,28.93,13.48,8.53,112.02,37.2,0
 96-106,0,0,2.04,8.12,286.83,7.48,0,1227.97,0,105,0.92,371.55,28.35,0,40.93,4.27,41.54,0,12.66,18.11,227.75,0.8,36.46,37.77,316.02,0,2.9,21.12,0,30.46,6.16,0,1.42,0,0,16.25,39.23,7,136.71,45.92,0
108-118,0,0,0,5.53,192.9,0.6,0,1050.1,0,94.38,13.87,320.83,28.73,0,13.59,1.45,26.32,1.13,5.78,16.91,301.48,4.3,37.61,16.45,451.23,0,3.75,9.89,0,37.94,3.56,0,16.01,0,0,5.21,53,13.43,108.52,44.75,2.03
120,0,0,0,0,109.83,0,14.93,312.36,2.29,27.38,0,383.27,18.16,0,28.29,0,10.91,0,3.75,5.02,294.28,0,23.52,17.49,451.03,0,0,30.57,0,14.49,7.51,0,11.78,0,0,12.96,23.25,21.3,270.79,38.83,0
