stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vasculature,visceral.smooth.muscle,xanthophores
  3-4,10.6,682.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.75,0,0,0,0,0,0,0,0,0,0
  5-6,64.25,617.42,0,0,0,0,0,0,0,0,0,0,0,9.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,5.45,0,0,0,0,0,0,13.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,134.1,3.84,0,0,17.76,0,0,19.67,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,11.63,0,0,0,23.65,0,0,0,0,0,3.97,0,0,0,0,0,0,0,0,0,0,118.35,14.67,0,0,59.49,0,0,0,0,11.62,0,0,0,0,0,0,0
 14-21,0,0,1.13,0,3.1,0,0,3.55,0,0,0,1.75,0,0,0,1.43,0,0,3.73,0,6.96,0,0,1.37,54.11,3.79,0,0,0,0,5.2,0,16.99,1.27,0.98,8.26,12.85,0,0,0,0
 24-34,0,0,2.69,0,1.38,0,0,10.62,0,0,0,1.3,0,0,0,0,0,0.86,0,0,8.29,0,0,1.58,115.22,0,0.83,1.14,0,0,11.22,1.06,0,0.69,0,1.88,20.25,0,0,0,0
 36-46,0,0,0,0,0.64,0,0,28.82,0,0,0,6.02,0,0,0,0,0,0,0,0,15.56,0,0,2.12,73.27,0,1.01,0,0,0,3.44,1.59,0,2.87,0,0,22.01,0,8.25,0,0
 48-58,0,0,0.44,0,0,0,0,24.62,0,0,0.85,1.46,0,0,0,0,0,1.93,0,0,4.22,0,0,2.44,26.59,0,0,0,0,0,0.38,0,0,0,0,0,8.44,0,0,0,0
 60-70,0,0,0,0,8.1,0,0,40.37,0,0,3.82,14.36,0,0,0,0,0,0,1.41,0,2.96,0.63,2.14,1.72,54.32,0,0,0,0,0.84,0.8,0,0,0,0,0,8.76,0.81,2.61,0,5.73
 72-82,0,0,0,0,4.29,0,1.04,29.31,1.21,0,0,16.44,1.87,0,0.55,0,0,0.79,0.8,0,4.52,0,0,0,89.54,0,0.53,0,0,0,1.06,0,0,4.46,0,0,5.1,0,2.97,0,0
 84-94,0,0,0,0,2.06,0,0,16.21,0,0,0.6,24.5,4.86,0,0,0,0,1.2,0,0,4.77,2.84,0.82,0.59,48.89,0,0.58,0.64,0,3.87,7.82,0,0,0,0,0,3.39,0,0.64,0,0
 96-106,0,0,4.94,0,4.62,0,0,60.06,0,0,0,27.87,6.16,0,3.52,0,0,0,0.72,0,6.51,0,0,0.88,77.14,0,0,0,0,1.94,9.25,4.72,0,0,0,0,0,0,0,0,0
108-118,0,0,0,0,3.49,8.02,0,59.76,0,1.05,0.59,15.1,5.65,0,0,0.43,0.86,0,1.16,0.59,12.77,0,1.04,0.75,53.34,0,0,0,0,0,7.64,0,0,0.45,0,0,13.97,0.89,0,0.7,10
120,0,0,0,0,32.18,0,0,5.52,0,0,0,47.2,8.03,0,0,0,0,0,9.22,0,33.91,0,0,3.82,112.62,0,0,0,0,0,0,0,0,0,0,0,0,0,1.14,6.74,1.64
