stage,axial,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,glial,gut,immune,ionocyte,iridophores,liver,mesenchyme,mural.cell,muscle,neural,olfactory,otic,pericytes,periderm,pronephros,spinal.cord,vascular.smooth.muscle,vasculature,xanthophores
 14-21,0,0,0,0.81,1.52,1.06,0,0,0,0,0,0,0,3.15,0,0,2.04,0,0,0,0,0.94,15.55,0,1.9,0
 24-34,0,0,0,2.14,0,1.04,0,1.59,0,0.88,0,0,0,2.47,0,0.59,101.06,36.4,0.63,0,0,0,45.4,0,12.68,0
 36-46,0,0,0,0,0,2.95,0,2.19,0,0,0,0,0,3.61,0,0,202.54,58.83,0.97,0,0,0,32.81,0,11.46,0
 48-58,0,0,0,0.95,0,73.48,0,2.14,0,3.94,0,0,0,3.04,0,0,257.08,35.02,0,0,0,0,54.72,0,5.75,7.22
 60-70,0,0,0,6.81,0,118.46,0,4.95,0,0,0,0,0,3.06,0,0.89,459.82,28.62,0,5.18,0,0,64.19,0.82,7.16,0
 72-82,0,0,0.75,1.08,0.64,145.9,0,15.2,0,1.13,0,0,0,9.4,5.89,1.31,350.96,25.19,4.14,5.92,0,0,32.96,0,1.84,8.15
 84-94,0.62,2.58,0,1.86,0,74.76,0,23.74,0,2.57,0,0,0.82,9.46,4.56,0,226.27,38.59,0,24.66,0,1.44,29.6,0,9.67,0
 96-106,0,0.63,0,5.15,6.97,89.13,0,8.1,0,8,0.76,4.78,0,12.53,2.02,3.29,146.74,46.75,1.63,18.23,2.51,0,26.14,1.27,7.31,0
108-118,0,0.89,0,4.61,1.77,52.94,0.9,3.88,0.73,1.18,0,0,0,24.3,6.88,0,240.93,16.94,1.72,7.09,0.56,0,2.88,0,7.25,0
120,0,0,0,8.07,0,41.16,0,15.41,0,0,0,0,19.61,4.51,2.58,2.54,215.98,16.93,0,41.93,0,0,12.38,0,12.69,0
