stage,axial,blastomeres,endocrine.pancreas,epidermis,eye,fin.epithelia,glial,gut,hatching.gland,heart,immune,ionocyte,lateral.line,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,somites,spinal.cord,vascular.smooth.muscle
  3-4,0,40.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,65.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,7.06,0,0,0,13.14,0,0,0,0,0,0,0,0,0,0,0,0,0,114.99,0,0,0,20.57,0,0,0,0,0,0
 10-12,0,0,0,0,13.23,0,0,0,3.11,0,0,0,0,0,0,0,0,0,38.45,4.54,0,0,43.21,0,0,5.33,0,0,0
 14-21,0,0,0,0.83,0.93,0,0,1.58,0,0,0,0,0,0,1.18,0,0,0,10.81,10.41,0,0,0,0,0,0,3.13,1.66,0
 24-34,0,0,0,11.66,0,0,0.69,0,0,0,0,2.67,0,0,0.93,1.77,0,0,15.66,0,0,0.62,0,0,0,0,0,5.31,0
 36-46,0,0,0,0.63,1.7,0,0,0,0,0.65,0,1.96,0,0,0.66,0,0,1.45,21.71,0,0,0,0,0,1.9,0,0,2.36,0
 48-58,0,0,0,2.44,5.48,0,0,0,0,0,0,7.47,0,0.56,0,0,0,0,13.4,1.33,0,1.8,0,0,0,0,0,2.54,0
 60-70,0,0,0,4.18,16.45,0,0.85,4.04,0,0,0,0,0,0,0.9,0,0,0,12.17,0,0.72,0,0,0,0.63,0,0,0,0
 72-82,0,0,0,0,2.85,0,0,0.49,0,0,0,0,0,0,1.35,0,1.11,0,11.87,0,0,0,0,0,0,0,0,0,0.5
 84-94,0,0,0,0,7.45,0,0.86,0.76,0,0,0,0,0,0,1.98,0,0,1.19,1.54,0,1.79,0,0,0,0.72,0,0,0,0
 96-106,0,0,1.07,1.68,14.14,2.75,0.6,0,0,0,1.76,0.63,0.59,0,0.64,0,0,0,11.42,0,0.69,0.57,0,1.61,0.93,0,0,0,0
108-118,0,0,0,0.52,0,0,0,0,0,0,0,0,0,0,0,0.44,0,0.68,8.34,0,0.46,0,0,0,0.51,0,0,0,0
120,0,0,0,1.48,2.07,0,0,0,0,0,0,4.13,0,0,0,0,0,4.92,31.02,0,0,0,0,0,1.83,0,0,0,0
