stage,erythrocytes,fast_muscle,fin_epithelia,glial,gut,immune,liver,mesenchyme,muscle,neural,periderm,presomitic_mesoderm,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature
 14-21,0,0,0,0,0,0,0,0,0,2.72,2.03,3.42,16.48,19.84,0,0,0
 24-34,0,0,0,0,0,0,2.11,0.69,0,0.84,0,0,1.53,1.32,0.81,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,0,0.58,0,0,0,0
 48-58,0,0,0,0,0,0,0,0,0,1.31,0,0,0,0,0.73,0,0
 60-70,0,0.97,0,0.82,0,0,7.32,0,0,3.17,0,0,0,0,1.39,0,0
 72-82,0.54,0,0,1.91,0,0,2.53,4.87,0,3.77,0,0,0,0,0,0,0
 84-94,0,0,0,0,1.36,0,2.8,0,0,0,4.09,0,0,0,0,0,0
 96-106,7.51,0,0,0,0,0,8.79,0,0,7.04,6.32,0,0,0,0,0.76,0
108-118,0,0,0,0,0,0,9.61,0,0,3.51,0,0,0,0,0,0,0
120,0,0,1.06,9.28,0,1.24,16.18,0,1.67,5.75,0,0,0,0,0,0,5.44
