stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,17.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,40.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,79.3,0,9.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,794.24,0,0,0,49.67,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,420.86,0,283.59,0,5.97,0,38.14,0,0,0,0,0,0,0,0,0,0,22.4,0,0,0,0,0,9515.54,7.36,0,0,333.81,0,0,0,0,1279,0,7.28,5.09,0,0,0,0,0
 14-21,0,0,1.49,310.59,163.44,0,819.09,0,3.22,0,2.18,147.65,0,0,1.89,0,0,0,0,234.48,0,0,32.32,3176.86,12.6,0,688.37,62.01,0,0.87,0,20.77,566.02,0,15.32,720.07,0,0,1.29,0,0
 24-34,0.83,0,0,171.26,0.62,0,695.56,0.7,0.8,1.52,7.32,18.39,0,0,0.63,0,0,3.43,1.29,111.74,0,0,13.52,5420.68,3.25,3.31,423.69,0,0,8.77,0,0,239.06,0.78,5.1,1179.44,0,0,12.86,0,0
 36-46,0,0,0,80.84,1.83,0,516.53,0,0,0.65,35.85,5.67,0.95,3.18,0,29.26,3.34,0,0,33.53,2,0,6.38,9740.33,15.5,10.87,206.18,0,0,22.44,0,2.6,155.83,0,1.75,1674.37,0,0,4.83,0,0
 48-58,2.59,0,3.01,118.05,0.71,0,752.21,6,12.58,2.57,156.21,9.23,2.92,9.41,0.48,18.92,7.21,0,5.34,66.73,0,7.72,11.09,14988.32,9.53,5.29,240.27,0,0,21.32,0,0,120.97,1.72,0,2775.23,0,0,6.51,0,7.8
 60-70,0,0.82,5.1,50.15,4.26,0,404.88,0,2.29,2.13,63.78,0,0,9.16,0,18.43,1.77,0,0,73.56,0,19.5,10.1,10754.93,0,4.76,186.3,0,0,31.25,0,0,93.66,1.34,0,3056.6,0,0,0.76,5.7,8.4
 72-82,0,0.98,3.27,42.83,23.87,0,568.75,7.1,11.62,1.46,168.74,0,0.8,3.23,0,2.8,10.22,0,0,141.29,0,6.73,8.21,7486.73,0,0.56,246.16,0,5.61,17.65,0,0,90.41,0,0,1768.98,2.43,0.97,1.99,13.77,16.17
 84-94,0,0,5.22,51.77,5.97,0,477.86,1.35,12.82,10.29,127.08,9.08,1.5,0.59,1.74,7.57,0,0,0,74.22,0,2.71,13.01,4455.11,5.19,2.74,353.86,0,0,12.23,0,0,232.09,1.07,0,1221.71,0,0,5.72,5.62,29.45
 96-106,0,0,4.77,40.74,34.8,0.8,380.25,0.61,0.65,0,185.17,4.13,0,7.16,0,3.15,21.13,45.03,0,61.9,0,0,5.71,2636.74,0,0,341.76,0,2.06,18.79,0.76,0,187.84,0,0,550.62,0.72,0,2.1,0,14.82
108-118,0,0,25.81,52.46,3.34,3.81,235.9,0,0.45,0.48,91.72,2.69,0,1.03,0,0.42,12.73,10.39,0,78.48,1.41,5.8,15.62,3431.5,0,1.47,303.89,0,0,6.07,0,0,163.78,0,0,403.63,0,0.72,1.53,0,0
120,0,0,3.83,46.37,2.76,0,159.04,0,2.63,15.57,94.77,5.18,2.77,4.96,0,0,1.6,4.13,11.42,38.41,0,65.2,10.83,4645.87,2.28,0,407.48,0,0,13.73,2.5,0,127.77,0,0,195.99,0,6.07,0,7.18,0
