stage,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_mesenchyme,glial,gut,hatching_gland,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,otic,paraxial_mesoderm,pericytes,periderm,pronephros,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  7-9,0,0,0,0,0,0,0,0,5.49,0,0,0,0,0,0,0,0,0,4.2,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,5.32,7.3,0,0,0,0,51.34,0,0,0,0,0,0,0,0,0,47.89,5.28,0,31.01,0,0,0,0,0,0,0,0,0
 14-21,0,9.54,69.67,0,0,0,0,0,0.98,0,0.89,0,0,0,136.58,0,0,108.67,52.01,0,0,0,0,0,0,3.99,0,0,1.41,0,0
 24-34,0.68,3.68,1.43,0.64,0,0,0,0,0,0,1.75,0,0,0,184.67,0,0,1.38,47.91,0,0,0,0,0.65,0,1.92,0,0,8.33,0,0
 36-46,0,2.36,1.02,1.23,0,0,0,0,0,0,0,0,0,0,264.34,0,0,13.96,13.72,0,0.82,0,0,0,0,0.78,0,0,11.31,0,0
 48-58,0,9.74,0,5.11,0,0.44,0,0,0,0,0,0,0,2.05,630.88,0,0,18.15,44.73,0,0.38,0,0,0,0,2.39,0,0,22.59,0,0
 60-70,0,35.32,0,2.49,0.68,0,2.26,0,0,0,10.22,0,0,0,627.71,1.3,4.65,14.87,27.23,0,0,0,0,0,0,1.27,0,0,25.74,0,0
 72-82,0,33.7,1.21,27.57,0,0,1.7,0,0,1.17,0,0,0,0,746.21,0,0,24.54,25.58,0,2.52,0,2.62,0,0,2.04,0.5,1.93,54.08,0,0
 84-94,0,50.11,2.62,14.52,1.37,1.81,0.57,0,0,0,0,0,0,0,510.15,0,0,13.21,18.31,0,0,0,0,0,0,0.75,0,0,43.28,0.71,7.59
 96-106,0,27.45,0,6.95,0,1.02,1.6,0.77,0,0,0,0.8,3.16,8.9,487.64,0,0,24.57,32.55,0,0,0,1.58,0,1.73,0,0,0,63.74,0,0
108-118,0,17.61,0,9.03,0,2.22,0,0,0,1.01,0.84,0,0,0,480.11,0,0,6.7,21.67,0,0,0,0,0,0,0,0,0,72.17,0,0
120,0,15.72,0,16.26,5.82,0,0,0,0,0,6.62,0,0,11.33,348.29,0,0,10.46,15.3,0,0,0,0,0,0,0,0,0,114.88,0,0
