stage,axial,blastomeres,endoderm,epidermis,gut,hatching.gland,muscle,neural,notochord,paraxial.mesoderm
  3-4,0,63.76,0,0,0,0,0,0,0,0
  5-6,0,76.11,0,0,0,0,0,0,0,0
  7-9,4.87,0,0,0,0,0,0,6.81,0,3.3
 10-12,0,0,0,0,0,3.42,0,19.01,0,3.33
 14-21,0,0,0,1.13,0,0,0.96,0,0,0
 24-34,0,0,0,0,0,0,0,0,0.66,0
 36-46,0,0,0,0,0,0,0,1.34,0,0
 60-70,0,0,0,0,0,0,0,0.59,0,0
 72-82,0,0,0,0,1.08,0,0,1.43,0,0
 84-94,0,0,0,0,3.3,0,0,0,0,0
 96-106,0,0,0,0,9.68,0,0,1.47,0,0
108-118,0,0,0.44,0,7.14,0,0,0,0,0
120,0,0,0,0,6.03,0,0,0,0,0
