stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vasculature,xanthophores
  3-4,101.91,1971.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42.18,0,0,0,0,0,0,0
  5-6,148.09,3287,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86.81,0,0,0,19.44,0,78.86,0,0,0,0,0,0,0
  7-9,201.79,236.84,0,184.92,0,0,0,563.43,0,0,0,0,0,247.59,0,0,0,0,0,0,0,0,0,0,0,3770.61,140.12,0,0,1312.1,0,4.34,0,0,0,0,0,0,0
 10-12,7.59,78.8,0,164.63,0,53.75,0,313.83,0,0,0,0,0,53.34,0,0,0,0,0,0,0,0,0,0,0,2362.2,147.37,0,0,577.67,0,0,4.61,41.46,4.89,7.02,0,0,0
 14-21,0,0,0.8,2.33,22.63,5,0,10.83,0,0,0,4.13,1.93,0,0,0,0.81,0,0,0,1.94,16.09,0.95,0,15.59,232.49,18.35,4.02,2.8,10.19,0,14.83,24.39,1.93,6.95,52.72,0,0,0.89
 24-34,0,0,0,0,9.71,0.89,0,80.69,0,0,0,9.96,0,0,0,0.6,0.68,0,2.36,0.67,1.09,50.21,0,0,17,647.67,9.7,3.07,4.13,1,0,11.3,0,1.17,2.21,95.1,0,6.77,1.54
 36-46,0,0,0,0,22.28,0,0,192.21,2.15,3.44,0,9.39,0,0,0,1.14,0,1.88,0,2.4,0,36.93,1.01,0.56,9.16,366.37,0,2.45,6.53,0,0,20.58,0,0.6,0,35.67,0,2,0
 48-58,0,0,0,0,12.04,0,0,232.58,0.66,8.34,2.7,13.77,0,0,0,0.57,0,0,0,5.64,0,42.48,12.23,2.65,5.62,240.54,0,0,1.95,0,0,5.95,0,0.74,0,18.86,0,6.42,1.58
 60-70,0,0,0,0,11.88,0,2.15,188.66,0,7.66,0,19.21,2.25,0,0,0,2.48,1.55,0.67,0,0,55.66,0,0.59,4.9,127.98,0,2.4,0,0,0,9.55,0,0.59,0,14.28,1.22,3.9,7.09
 72-82,0,0,0,0,3.47,1.36,0,73.3,0,6.11,1.2,19.98,1.02,0,0,0,0.7,0,0,3.06,0,45.57,0,3.42,2.31,148.11,0,2.07,11.01,0,0,4.66,0,0,0,17.84,0,1.36,0
 84-94,0,0,0,0,12.06,11.98,0,65.89,0,1.33,2.01,16.76,1.29,0,0,1.23,3.03,3.52,0,0,0,39.28,0,2.59,5.08,121.85,0,4.2,2.22,0,0,4.7,0,0,0,2.79,1.17,3.41,1.92
 96-106,0,0,0,0,4.18,0.94,0,43.18,1.04,0,0,20.64,3.48,0,1.54,2.16,0,0,0,3.12,0,19.17,0,2.83,4.19,65.27,0,1.47,1.49,0,0,6.85,0,0.73,0,1.31,1.14,7.21,0
108-118,0,0,0,0,10.08,2.47,2.64,63.39,0,0,0.94,19.49,0.45,0,0,4.65,0,7.66,0,2.72,0,27.4,0,0,5.76,128.49,0.85,1.62,5.62,0,1.31,8.92,0,1.73,0,7.37,0.81,6.46,5.35
120,0,0,0,0,7.29,6.32,0,32.81,0,0,0,32.49,0,0,0,9.96,1.36,0,0,1.4,0,33.31,1.49,2.76,1.1,137.42,2.21,0,0,0,0,9.44,0,1.14,0,14.99,0,1.44,0
