stage,blastomeres,eye,glial,mesenchyme,neural,periderm,slow.muscle
  5-6,9.8,0,0,0,0,0,0
 48-58,0,0,0,0,0.51,0,0
 60-70,0,0,0,0,0.91,0,0
 72-82,0,0,0,0,0,1.9,0
 84-94,0,0,0,0.82,0,1.09,0
 96-106,0,1.31,2.73,0.62,0,6.11,0
108-118,0,0,0,0,0,0.48,0
120,0,0,0,0,0,2.79,4.38
