stage,blastomeres,epidermis,eye,glial,mesenchyme,neural,olfactory,spinal.cord,taste
  3-4,31.26,0,0,0,0,0,0,0,0
  5-6,27.94,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0.87,8.05,0,0,0
 24-34,0,0,0,0,0,16.98,0,3.48,0
 36-46,0,0,0,0,0,32.9,0.59,2.99,0
 48-58,0,5.35,1.19,0,0,35.67,0,4.77,0
 60-70,0,0,1.74,0,0,38.12,0,5.72,0
 72-82,0,0,5.75,0,0,42.63,0,6.01,3.98
 84-94,0,0,0,0,0,8.15,0,12.56,0
 96-106,0,0,0,0,0,11.16,0,1.98,0
108-118,0,0,0,2.92,0.73,11.63,0,2.81,0
120,0,0,0,9.62,0,125.16,0,10.16,0
