stage,axial,blastomeres,endoderm,epidermis,eye,fast.muscle,fin.epithelia,glial,hatching.gland,lateral.line,liver,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,somites,spinal.cord,vasculature
  3-4,0,184.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.74,0,0,0,0
  5-6,6.86,53.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,10.43,23.03,0,0,0,0,0,0,3.56,0,0,0,0,0,47.7,0,0,0,25.2,0,0,0,0,0
 10-12,0,7.54,3.04,0,7.29,0,0,0,0,0,0,0,0,0,37.59,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0.81,0,0,0,0,0,0,0,2.05,0,0,8.57,0,0,0,0,0,0.95,0.95,0.98,0
 24-34,0,0,0,0,0.7,0,0,1.24,0,0,0,0.99,0,0,9.14,0.86,0,0,0,0.72,0,0,1.5,0
 36-46,0,0,0,0,0,0,0,1.46,0,0,0,3.12,0,0,23.04,0,0,3.69,0,5.3,0,0,1.77,0
 48-58,0,0,0,0,2.16,0,0,2.18,0,0,0,3.72,0.78,0,30.54,0,0,0,0,0.49,0,0,3.11,1.04
 60-70,0,0,0,0,11.53,0,0,1.43,0,0,0,13.62,0,0,37.93,0,0,0,0,0,0,0,7.98,0.74
 72-82,0,0,0,0.88,3.17,0,0,1.15,0,0,0,8.05,0,0,15.26,0,0.88,0,0,2.85,0,0,6.66,0.65
 84-94,0,0,0,1.35,3.56,1.33,0,1.06,0,0,0,12.64,0,0,10.29,0,0,0.63,0,0.57,0,0,1.13,3.7
 96-106,0,0,0,0.81,0,0,0,0,0,0.59,0.6,7.12,0,0,25.86,0,0,0.59,0,0,0,0,0,0
108-118,0,0,0,2.35,3.79,0,0,3.23,0,1.29,0,16.28,0,0.72,8.09,0.71,0,1.96,0,4.18,0,0,1.33,0
120,0,0,0,4.8,0,0,4.59,0,0,0,0,14.98,0,0,5.74,0,0,0,0,0,0,0,0,0
