stage,blastomeres,epidermis,eye,glial,immune,mesenchyme,neural,otic,periderm,spinal_cord
  3-4,12.97,0,0,0,0,0,0,0,0,0
  5-6,47.91,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,8.42,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0.94
 24-34,0,0,0,0,0,0,13.36,0,0,0
 36-46,0,0,0.78,9.67,0,0,13.06,0,0,5.46
 48-58,0,0,0,0,0,0.56,5.93,0,0,1.06
 60-70,0,0,1.44,0,0,0,0,0,0,0
 72-82,0,0,4.02,0,0.55,0.62,3.65,0,0,0
 84-94,0,0.69,0.9,0,5.95,0,0,0,4.34,0
 96-106,0,0.67,0,0,0,0,0,0,6.58,0
108-118,0,1.45,0,0,0,1.39,0,3.52,0,0
120,0,0,0,0,0,0,2.47,0,2.18,0
