stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,eye,hatching.gland,mesenchyme,muscle,neural,notochord,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,slow.muscle,somites,spinal.cord
  3-4,58.21,415.07,0,0,0,0,0,0,0,0,0,0,12.22,0,0,0,0,0
  5-6,6.98,328.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,20.41,0,8.31,0,6.8,8.08,0,0,122.74,0,42.38,0,9.15,0,0,0,0
 10-12,0,0,0,3.04,0,0,0,0,0,0,0,15.6,0,0,0,0,0,0
 14-21,0,0,0,0,2.65,0,0,0,0,1.97,0,0,0,0,1.59,1.36,1.86,0
 24-34,0,0,1.34,0,0,0,0,0,0,4.93,0,0,0,0,0,0,0,0
 36-46,0,0,0,0,0,0.76,0,0,0.57,4.48,2.62,0,0,0,0,0,0,0
 48-58,0,0,0,0,0,0,0,0.41,0,2.37,0,0,0,0,0,0,0,0
 60-70,0,0,0,0,0,1.52,0,0,0,3.71,0,0,0,0,0,0,0,2.49
 72-82,0,0,0,0,0,0,0,0,0,9.35,0,0,0,0,0,0,0,3.96
 84-94,0,0,0,0,0,0,0,0,0,4.79,0,0,0,0,0,0,0,0
 96-106,0,0,0,0,0,0,0,2.43,0,0,0,0,0,0,0,0,0,2.07
108-118,0,0,0,0,0,0,0,0,0,2.74,0,0,0,0,0,0,0,0.53
120,0,0,0,0,0,2.15,0,0,0,6.61,0,0,0,0,0,0,0,12.63
