stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,89.22,847.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62.09,0,0,0,0,0,0,0,0,0,0,0
  5-6,127.24,1745.9,39.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,490.39,16.64,0,0,211.39,0,6.81,0,0,0,0,0,0,0,0,0,0,0
  7-9,174.19,171.41,211.23,0,0,32.74,0,0,0,0,0,44.1,0,0,0,0,0,0,0,0,0,0,0,4165.94,532.09,0,0,5241.71,0,0,60.71,0,0,0,0,0,0,0,0,0,0
 10-12,0,97.42,362.16,0,0,7.55,0,0,0,0,0,7.67,0,0,0,0,0,0,0,0,0,0,0,2540.09,353.21,0,0,3399.03,0,9.31,9.34,11.5,177.31,0,16.24,0,0,0,0,0,0
 14-21,0,1.36,11.69,391.06,22.94,26.19,0,8.38,0,0,12.4,0,0.93,0,2.24,0,1.33,0,14.92,94.65,1.02,0,82.3,466.44,70.89,0,6.15,178.3,0,24.77,0,582.51,2.75,0,154.59,105.58,0,0,8.26,0,2.7
 24-34,0,0,2.87,76.68,1.22,27.99,0,6.02,9.16,0.85,1.41,0,5.64,0.65,2.18,0,25.83,2.16,15.79,231.66,0,0,109.55,954.68,11.71,0,13.02,0,0,82.71,0,0,1.63,0,37.26,42.48,0,0,62.36,0,2.92
 36-46,0,0,0,58.45,0.58,45.29,0,0,21,15.22,2.68,0,2.44,0,0,0,19.17,1.99,3.98,418.26,1.35,0.8,99.87,5230.75,8.2,1.98,22.97,0,0,148.73,0,2.14,1.81,0,0,63.08,0,0,49.59,0,9.18
 48-58,0,0,0,69.04,0,194.81,1.02,2.95,26.06,68.29,1.54,0,2.93,0.58,0,2.34,16.61,7.84,3.77,396.76,0.5,1.58,58.53,7887.52,6.19,1.41,17.07,0,0,150,0,0,1.22,0,0,73.27,0,0,77.99,0,19.96
 60-70,0,0,0,57.7,0,164.14,0.63,7.29,22.94,55.03,1.64,0,4.41,0,8.75,0,10.42,0,3.77,466.39,4.48,7.92,45.57,8078.1,7.1,1.07,14.33,0,1.46,108.39,0,0,0,0,0,26.96,0.76,1.03,83.43,0,16.54
 72-82,0,0,0,49.2,3.67,297.06,0,0,43.78,102.65,2.09,0,4.72,2.07,21.85,1.55,3.47,0,6.75,456.38,0,1.83,34.76,4423.93,1.76,0.49,6.67,0,2.83,64.19,0,0,0,0,0,12.81,2.2,1.45,134.54,3.41,15.78
 84-94,0,0,0,133.26,2.58,338.97,1.43,10.64,38.97,77.14,4.67,0,4.01,1,9,8.97,12.1,0,0,416.13,0,2.84,42.37,3056.69,1.33,0,8.54,0,1.01,165.42,0,0,1.29,1.38,0,36.66,8.74,2.8,57.58,0,44.14
 96-106,0,0,0,125.36,10.42,186.78,0.57,6.33,14.64,84.19,2.69,0,4.03,0,19.3,3.34,4.11,0,0,396.47,1.63,5.84,28.08,2418.08,0,3.01,9.67,0,2.01,82.5,0,0,0,0,0,5.84,7.95,1.81,82.8,2.64,22.31
108-118,0,0,0,93.02,1.51,151.62,3.08,1.71,20.21,71.04,16.94,0,3.31,1.53,15.04,1.02,9.5,1.47,1.6,392.95,1.44,2.07,35.21,3508.71,2.21,3.75,15.68,0,1.49,70.85,0,0,0,0,0,6.82,12.49,0,57.05,1.09,33.01
120,0,0,0,107.37,6.83,375.53,12.08,3.96,36.25,141.99,3.73,0,10.89,1.01,5.59,0,0,10.95,0,438.75,1.65,27.24,18.85,3406.87,1.08,0,6.39,0,0,85.8,0,0,0,0,0,5.23,16.42,16.77,83.83,0,7.26
