stage,endoderm,epidermis,erythrocytes,eye,ionocyte,lateral.line,liver,mesenchyme,muscle,neural,olfactory,otic,periderm,spinal.cord,vasculature
 10-12,0,0,0,0,0,0,0,0,0,15.1,0,0,0,0,0
 14-21,1.51,2.62,0,0,0,0,0,1.12,0.89,0,0,1.09,0,0,0
 24-34,0,1.05,0,0,0,0,6.75,0,0,0,0,0,1.96,0,0
 36-46,0,0,0,0,0,0,2.68,0,0,5.84,0,0,1.59,0,0
 48-58,0,0,0,0,0,0,0.41,0,0,1.5,0,3.51,6.72,0.62,0
 60-70,0,0,0,0,0,0,0.68,0,0,0,0,0,3.88,0,0
 72-82,0,0,1.39,0,0,0,14.39,1.71,0,0,0,0,0,0,0
 84-94,0,1.35,0,0,0.57,0,0,0,0,0,0,0,5.86,0,0
 96-106,0,0,0,0.71,0,0,0,0,0,2.59,1.46,0,0.74,0,0
108-118,0,0.54,0,0,0,2.06,0,0,0,0,0,0,2.35,0,1.93
120,0,0,0,0,1.65,0,0,0,0,4.94,11.79,0,1.17,0,0
