stage,blastomeres,epidermis,erythrocytes,eye,fast_muscle,hatching_gland,immune,mesenchyme,muscle,neural,olfactory,otic,paraxial_mesoderm,periderm,somites,spinal_cord,vasculature,xanthophores
  3-4,57.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,44.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,3.56,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,21.37,0,0,4.47,0,0,0,0,0
 14-21,0,0,1,0,0,0,0,2.08,0,0.92,0,0,0,0,1.01,0,0.85,0
 24-34,0,0.66,0,0,0,0,0,1.01,0,2.31,0,0,0,0.74,0,0.69,0,0
 36-46,0,0,0,0,0,0,0,0.58,0,0,0,0,0,0,0,0,0,0
 48-58,0,0,0,0,0,0,0,0.69,0,1.08,3.44,0,0,0,0,0,0,0
 60-70,0,0.67,0,0,1.08,0,0,0.84,0,0,0,0,0,0,0,0,0,0
 84-94,0,1.57,0.81,0,0,0,0,0,0,1.72,0,0,0,0.57,0,0,0,0
 96-106,0,6.02,0,0,0,0,1.07,4.43,0,0,0,0,0,0,0,0,0,0
108-118,0,0.91,0,6.4,0,0,0.43,0,0,1.06,0,0.52,0,0.45,0,0,0,1.03
120,0,1.14,0,0,0,0,1.79,0,2.79,1.17,0,0,0,2.73,0,0,0,0
