stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,glial,gut,immune,ionocyte,mesenchyme,muscle,neural,olfactory,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,slow.muscle,somites,spinal.cord,xanthophores
  3-4,9.45,87.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.09,51.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.94,0,0,0,0,0
  7-9,0,12,5.94,0,0,11.62,0,0,0,0,0,0,0,0,39.06,0,13.92,0,0,0,0,0,0,0
 10-12,0,0,7.41,0,0,0,0,0,0,0,0,0,0,0,36.15,0,22.11,0,0,0,0,0,0,0
 14-21,0,0,0,1.2,0,0,0,0,0.84,0,0,0,0.82,3.88,18.21,0,0.86,0,0,1.52,281.19,247.13,0,0
 24-34,0,0,0.83,1.05,0,10.23,93.55,0,6.74,0,0,0.71,6.52,78.23,77.81,0,0,0,1.06,3.08,134.02,328.89,15.03,1
 36-46,0,0,0,0,0,9.51,87.24,0,0,0,0,0,2.56,59.35,35.82,0,7.09,0,5.53,0,3.14,8.52,15.97,0
 48-58,0,0,0,0,0,5.57,16,0,1.12,0,0,0,2.7,0.38,18.23,0,0,0,0.97,0,1.71,0,3.52,0
 60-70,0,0,0,0,0,6.36,3.95,0,0,0,0,0,1.26,0,17.84,0,0,0,0,0,0,0,0,0
 72-82,0,0,0,1.89,0.61,8.19,7.72,0,0,1.1,0,0,8.08,0,19.41,0.84,0,0,0,0,0,0,2.46,0
 84-94,0,0,0,0,0,0,12.82,0,0,0,0,0,2.5,10.85,13.73,0,0,3.48,0,0,0,0,0,0
 96-106,0,0,0,0,0,12.21,28.86,0,0,0,0.93,0,1.4,1.31,9.61,0,0,0,0,0,0,0,0,0
108-118,0,0,0,0,0,10.62,47.45,5.23,0.89,0,0,0,3.98,6.65,7.31,0,0,0,0,0,0,0,4.09,1.44
120,0,0,0,0,0,0,18.89,0,0,1.92,0,0,11.38,8.25,18.98,0,0,0,1.65,0,0,0,0,0
