stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,601.51,8986.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,348.11,0,0,0,0,0,0,0,0,0,0,0
  5-6,494.48,7312.21,20.94,0,0,0,0,0,0,0,0,0,14.25,0,0,0,0,0,0,0,0,0,0,0,245.54,28.92,0,0,54.76,0,227.43,0,0,0,0,0,0,0,0,0,0,0
  7-9,36.68,47.63,52.59,0,0,0,112.07,0,0,0,0,0,58.26,0,0,0,0,0,0,0,0,0,0,0,1437.16,30.25,0,0,331.11,0,0,31.34,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,5.91,0,0,0,0,0,0,0,0,0,21.22,0,0,0,0,0,0,0,0,0,0,0,493.43,14.01,0,0,18.14,0,3.1,20.18,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,1.1,494.41,1.39,0,48.01,0,0,0,13.74,1.33,2.19,2.04,0,0.84,0,2.02,0,0,5.52,0,0,2.93,392.83,15.42,0,5.59,0,0,5.73,2.17,4.24,14.73,11.41,5.69,172.39,0,0,2.03,0,2.4
 24-34,0,0,0.65,651.4,0,0,59.32,3.34,5.89,0,25.23,1.91,0,13.7,0,2.72,0,24.48,1.34,16.17,33.69,11.05,0,24.02,745.04,10.4,4.03,8.14,0,0,38.87,0,0,11.69,4.3,5.18,204,0,0,3.05,0,8.31
 36-46,0,0,0,387.72,0,0,110.35,31.5,21.63,1.09,105.58,0.59,0,7.29,0,2.02,0.56,40.15,7.75,32.95,48.16,2.52,3.58,20.22,707.71,6.15,4.81,28.72,0,0,77.6,0.65,1.05,22.89,19,0,260.19,0,0,3.59,0,27.73
 48-58,0.58,0,0,557.4,0,0,156.76,19.12,48.34,1.85,177.51,2.98,0,7.53,0,0.94,5.08,23.36,2.3,39.51,60.42,2.01,8.64,15.78,494.94,4.43,1.65,5.42,0,0,72.65,0,0,4.58,12.46,0,181.12,0,0.37,0.96,0,24.45
 60-70,0,0,0,278.23,0,0,234.87,11.8,42.2,3.13,459.8,2.05,0,7.17,1.01,1.02,0.72,22.36,5.42,17.53,104.79,3.84,1.32,18.52,519.07,6.01,0,5.87,0.81,0,76.83,0,0,15.12,7.83,0,148.49,0,0.83,5.38,1.46,28.32
 72-82,0,0,0,156.58,2.78,0,220.78,22.01,19.7,0.71,657.2,2.06,0,16.3,5.92,0.61,3.69,18.83,13.86,7.43,163.51,2.15,7.84,23.93,434.98,1.03,0,9.73,0,0,43.7,0.56,0,13.44,5.41,0,77.34,0,0.5,6.29,3.89,36.76
 84-94,0,0,0.61,258.53,4.49,0,231,31.94,16.91,1.44,534.41,7.06,0,2.72,0,0.74,9.81,11.16,14.77,21.7,125.4,1.37,9.8,12.61,308.06,3.86,0,17.01,0,0,139.9,0,0,13.87,7.89,0,75.05,0.55,4.87,15.64,8.16,23.41
 96-106,0,0,2.06,236.43,0,0.6,284.91,36.92,14.69,1.21,632.46,4.83,0,14.55,2.05,0.77,23.09,13.68,33.74,15.23,153.94,0,2.63,15.78,313.11,3.08,2.13,19.27,0,1.33,144.74,0,0,12.67,11.12,0,64.3,0,1.92,33.79,25.87,17.2
108-118,0,0,0.74,128.72,0,0.47,163.28,23.28,15.85,1.45,742.05,5.43,0,4.41,3.41,0.44,10.72,13.69,30.48,12.46,142.95,4.32,7.91,15.99,453.9,6.26,0,21.66,0,0,104.28,0,0,6.36,11.62,0,35.05,2.3,4,11.56,14.24,11.01
120,0,0,1.66,153.52,0,0,187.82,25.36,22.92,0,618.39,14.38,0,1.17,2.92,1.01,3.34,4.29,46.53,1.33,155.41,1.16,0,13.67,508.12,2.43,0,29.6,0,0,67.74,0,0,3.55,2.07,0,50.17,0,8.85,5.62,6.11,1.16
