stage,blastomeres,epidermis,erythrocytes,eye,fast_muscle,fin_mesenchyme,glial,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,slow_muscle,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  5-6,6.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,4.81,0,0,0,0,0,0,0,0,0,0,3.21,0,0,0,4.37,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.78,0,0,0,4.27,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0.86,2.79,0,0,1.09,0,0,0,0,0,0,0,0,0,0,0,2.43,0,0,1.02,0,0,0,0,0,13.81,0,0,0,0,0
 24-34,0,0,0,17.77,0,0,1.19,0,0,0,2.24,0,0,0,0,2.58,0,2.04,32.89,1.07,0,0,0,0.87,0,2.42,0,24.57,0,0,1.71,0,0
 36-46,0,1.27,0,22.78,9.17,1.24,2.67,0,1.72,0,0,0,0,0,1.14,13.46,0,0.56,94.8,0,0.83,0,0,3.08,0,0,2.81,35.16,0,0,0.83,0,6.11
 48-58,0,0,0.69,55.76,0,1.43,11.86,0,0.55,0,0,0.38,0,0,0.51,25.55,1.28,2.18,144.31,1.86,0.56,1.22,0,6.39,0,0,4.22,48.5,0,0,2.71,0,0
 60-70,0,1.99,0,104.91,12.63,1.34,22.53,0,1.64,0,0,3.7,0,0,0,24.65,4.86,3.66,251.57,0.98,0,0,0,5.43,0,0,3.81,44.46,0,1.91,1.72,0,0
 72-82,0,1.51,20.61,103.47,0.49,0,35.84,0,0.58,0,0.5,0.85,0,0,0,45.59,3.91,2.22,220.73,0.58,0,0,0,0,0,0,0,37.3,0.53,2.62,3.87,1.52,4.49
 84-94,0,1.67,8.08,120.32,0.69,1.43,38.09,0,0,0,0,2.43,1.91,0,0,19.2,1.03,3.86,236.36,0,0.64,1.23,0,3.12,0,0,0.78,43.07,0,0,1.57,0.57,0
 96-106,0,0,12.27,111.61,0.95,6.44,23.12,0,0,0.7,1.78,0,0,0,0,21.51,0,2.95,161.43,0,1.62,3.76,0,4.71,0,0,2.68,19.42,1.68,0,1.21,4.41,0
108-118,0,0.6,10.38,80.15,13.31,0.96,18.29,0,3.91,0,0,0.62,0,0.61,0,27.25,1.84,0,176.14,1.45,0,9.56,0,1.05,0,0,3.63,11.76,1.33,0,5.4,3.39,0.65
120,0,3.55,27.41,89.68,8.1,8.16,34.27,0,0,0,4.71,0,1.54,1.5,0,40.19,0,2.65,300.27,0,0,12.1,0,1.37,1.12,0,0,26.07,0,0,2.15,0,0
