stage,eye,fast_muscle,mesenchyme,neural,periderm,spinal_cord
 24-34,0.87,0,4.15,0,0,0
 36-46,0,0,0,1.08,0,1.6
 48-58,0,0,0,1.58,0,0.78
 72-82,4.52,0,0,0,0,0
 96-106,0,0.87,0,0,0.95,0
