stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,9.45,144.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,420.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.2,0,0,0,0,0,6.3,0,0,0,0,0,0,0,0,0,0
  7-9,6.57,31.5,0,19.2,0,0,61.7,0,0,0,0,0,11.29,0,0,0,0,0,0,0,0,0,0,0,427.97,13.05,0,0,152.48,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,14.38,0,71.97,0,4.67,8.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,274.23,21.69,0,0,81.96,0,0,0,7.81,0,0,0,0,0,0,0,0
 14-21,0,0,1.95,0.86,30.8,8.67,9.87,0,0,0,4.33,3.76,0,0,0,3.03,0,0.92,0,0,14.44,0,0,12.23,177.94,7.69,0,1.76,1.09,0,1.7,31.18,1.91,3.37,27.7,55.13,0,0,1.1,0,0
 24-34,0,0,0,1.35,10.91,1.07,13.92,0,0,0,2.76,0.66,0,0,0,2.8,0,0,0,0,29.32,1.6,0,2.66,209.22,2.19,2.24,0,0,0,1.35,0,0,0,2.24,47.48,0,0,11.51,0,0
 36-46,0,0,0,0,4.11,0,25.95,0,0,1.34,8,0,0,0,0,0,0,0,2.52,0.8,11.48,0,0.89,1.68,169.3,0.6,1.95,3.41,0,0,2.84,0,6.8,0,0.56,50.7,0,0,10.38,0,0
 48-58,0,0,0,0,3.01,0,49.67,0,4.01,0.82,6.03,0.41,0,0.65,0,0.75,0,0.83,2.77,0,30.9,0,3.42,5.39,152.92,0.45,0.87,0,0,0,4.05,0,0.47,0,0,50.69,0,0,2.99,0,2.13
 60-70,0,0,0,0,5.2,2.8,77.66,1.1,0,1.37,17.18,1.02,0,10.11,0,0,0,0,0,0,22.97,0,7.27,7.79,156.85,0,1.72,4.21,0,0,1.06,0,0.63,0,0,44.88,0,1.42,4.37,0,0
 72-82,0,0,2.07,0,7.18,0,45.03,0,0.65,0.69,14.64,0,0,2.49,0.53,0.64,0,1.35,0,0,28.69,0,0.56,2.03,136.21,0,2.24,0,0,0,0.58,0,0,0,0,25.82,1.21,3.2,1.24,1.45,0
 84-94,0,0,3.3,0,8.2,0.66,32.18,1.88,0,4.43,13.21,0.57,1.22,0,0.75,1.03,0,2.2,1.73,0,31.03,0,0,2.42,98.84,0,0,1.43,0,0,8.24,0,0,0,0,20.12,0,0,2.16,4.18,0
 96-106,0,0,0,0,4.2,0,34.36,0.71,1.75,0,25.49,3.84,0,0,0.58,0.94,0.59,0.58,0,0,34.27,0,0,4.25,77.88,0,5.79,2.79,0,2.45,4.66,0,0,0,0,0,0,0,2.47,0,0.72
108-118,0,0,0,0,6.68,0.76,30.72,0,0.54,0,30.88,3.43,0,2.36,2.55,0.8,4.76,0.41,0.68,4.23,28.01,0,0.71,1.26,130.09,0.57,0.64,0.91,0,0,7.6,0,1.14,0,0,9.58,2.39,0,2.36,2.89,0.5
120,0,0,0,0,10.55,0,20.72,0,2.14,1.69,38.86,0,0,4.89,7.5,3.7,0,0,0,0,18.15,0,0,2.12,245.42,3.44,0,8.11,0,0,4.44,0,0,0,0,7.63,2.39,4.12,0,0,0
